grid: 900000 points on [1000.0,19000.0], 22491 zeros cached
mean S = -0.00003   Var-ish int S^2/T = 0.17169
V_line(X=2e4) = 0.13648;  V_line + 1/(2pi^2) = 0.18714 (compare Var S = 0.17169; 012's law)
       x  cutoff   int(S-P)^2/T  2pi^2*c_R
      50   sharp        0.08099      1.599
      50   taper        0.08278      1.634
     200   sharp        0.06613      1.305
     200   taper        0.06774      1.337
    1000   sharp        0.05334      1.053
    1000   taper        0.05429      1.072
    5000   sharp        0.04311      0.851
    5000   taper        0.04385      0.866
   20000   sharp        0.03672      0.725
   20000   taper        0.03723      0.735
