
==============================================================================
growth of Z(A) for large strip width (Z(inf) = +infinity)
==============================================================================
     A       W        Z(A)     2-Z(A)     dZ/dW
/Users/samuellavery/work/helix_frobenius/tmp/att034b_stripB.py:121: UserWarning: Solution may be inaccurate. Try another solver, adjusting the solver settings, or solve with verbose=True for more information.
  val = prob.solve(solver=solver, verbose=verbose)
    0.0    0.0    1.320792   0.679208     [optimal_inaccurate [1.5s]]
    1.0    2.0    1.446830   0.553170   0.0630  [optimal [1.1s]]
    2.0    4.0    1.831576   0.168424   0.1924  [optimal [1.1s]]
    3.0    6.0    2.330944  -0.330944   0.2497  [optimal [1.2s]]
    4.0    8.0    2.882034  -0.882034   0.2755  [optimal [1.2s]]
    5.0   10.0    3.460852  -1.460852   0.2894  [optimal [1.2s]]
    6.0   12.0    4.056066  -2.056066   0.2976  [optimal [1.4s]]
    8.0   16.0    5.274239  -3.274239   0.3045  [optimal [1.3s]]
   10.0   20.0    6.512531  -4.512531   0.3096  [optimal [1.2s]]
   12.0   24.0    7.760782  -5.760782   0.3121  [optimal [1.2s]]
   15.0   30.0    9.636496  -7.636496   0.3126  [optimal [1.1s]]
   20.0   40.0   12.696923  -10.696923   0.3060  [optimal [1.2s]]
