     S  S/log2      lam_min   primes in range
 0.400   0.577    -0.485114   []
 0.600   0.866    -0.844597   []
 0.690   0.995    -0.963064   []
 0.750   1.082    -1.065291   [2]
 0.900   1.298    -1.347827   [2]
 1.050   1.515    -1.581820   [2]
 1.100   1.587    -1.648116   [2, 3]
 1.250   1.803    -1.929223   [2, 3]
 1.386   2.000    -2.156162   [2, 3]
 1.500   2.164    -2.360152   [2, 3, 4]
 1.750   2.525    -2.817877   [2, 3, 4, 5]
 2.000   2.885    -3.276803   [2, 3, 4, 5, 7]
 2.200   3.174    -3.682351   [2, 3, 4, 5, 7, 8, 9]
