u-space arch (Shalf=0.2): -0.2394   vs r-space control -0.284
u-space arch (Shalf=0.5): -1.6526   vs r-space control -1.9401

     S  S/log2      lam_min   null peak
 0.400   0.577     0.097100   v=0.004
 0.600   0.866     0.009835   v=0.006
 0.690   0.995     0.003679   v=0.007
 0.750   1.082     0.002764   v=0.007
 0.900   1.298     0.002184   v=0.009
 1.090   1.573     0.001307   v=0.010
 1.386   2.000     0.000002   v=0.147
 1.600   2.308    -0.001272   v=0.015
 2.000   2.885    -0.003684   v=0.019
 2.400   3.462    -0.006534   v=0.023
 2.770   3.996    -0.009866   v=0.080
