 s0      m0_reg      inertia(G0)   gen-spectrum of (G1,G0)                    h_n-analogue
 1.500  -4.9476e-01   (0,4)        0.104 0.425 1.237 2.638                    -8.236e-03
 1.300  -5.2524e-01   (0,4)        0.113 0.448 1.307 2.794                    -1.423e-02
 1.100  -5.5896e-01   (0,4)        0.123 0.477 1.389 2.971                    -2.529e-02
 1.020  -5.7349e-01   (0,4)        0.127 0.490 1.426 3.049                    -3.210e-02
 1.001  -5.7703e-01   (0,4)        0.128 0.494 1.435 3.069                    -3.400e-02
 0.999  -5.7740e-01   (0,4)        0.128 0.494 1.436 3.071                    -3.420e-02
 0.980  -5.8099e-01   (0,4)        0.129 0.497 1.445 3.090                    -3.623e-02
 0.900  -5.9650e-01   (0,4)        0.134 0.512 1.485 3.175                    -4.637e-02
 0.800  -6.1692e-01   (0,4)        0.140 0.533 1.540 3.289                    -6.363e-02
 0.700  -6.3857e-01   (0,4)        0.146 0.556 1.599 3.412                    -8.819e-02
 0.600  -6.6158e-01   (0,4)        0.152 0.581 1.663 3.545                    -1.235e-01
 0.550  -6.7364e-01   (0,4)        0.156 0.594 1.697 3.616                    -1.469e-01
