M=28 sgn=1 N=86 J=1 psi=61361/250000
1 k=0 r=-61361/1000000 delta=1/100000000 v=97003/100000
2 k=3 r=782803/10000000 delta=117/50000000 v=951377/1000000
3 k=5 r=-1125283/5000000 delta=51/20000000 v=621433/1000000
4 k=6 r=136201/625000 delta=93/50000000 v=643537/1000000
5 k=7 r=2091301/10000000 delta=123/50000000 v=13401/20000
6 k=8 r=-854153/10000000 delta=207/100000000 v=942199/1000000
7 k=9 r=-5771569/10000000 delta=29/20000000 v=-134537/200000
8 k=9 r=3575629/10000000 delta=29/20000000 v=70041/500000
9 k=10 r=-1943761/5000000 delta=229/100000000 v=15787/1000000
10 k=10 r=1743857/5000000 delta=269/100000000 v=21851/125000
11 k=11 r=-5548537/10000000 delta=199/100000000 v=-302043/500000
12 k=11 r=27113/500000 delta=159/100000000 v=122071/125000
13 k=11 r=6145249/10000000 delta=159/100000000 v=-193843/250000
14 k=12 r=-1093789/2500000 delta=193/100000000 v=-178307/1000000
15 k=12 r=90869/2000000 delta=273/100000000 v=983531/1000000
16 k=12 r=4972041/10000000 delta=233/100000000 v=-6343/15625
17 k=13 r=-3246099/5000000 delta=71/50000000 v=-213819/250000
18 k=13 r=-2491109/10000000 delta=181/100000000 v=543291/1000000
19 k=13 r=323399/2500000 delta=221/100000000 v=869089/1000000
20 k=13 r=4884127/10000000 delta=221/100000000 v=-37357/100000
21 k=14 r=-296341/400000 delta=171/100000000 v=-984167/1000000
22 k=14 r=-1038031/2500000 delta=19/12500000 v=-22483/250000
23 k=14 r=-1040501/10000000 delta=251/100000000 v=114329/125000
24 k=14 r=121167/625000 delta=211/100000000 v=714093/1000000
25 k=14 r=1199053/2500000 delta=211/100000000 v=-170363/500000
26 k=14 r=3770831/5000000 delta=171/100000000 v=-992207/1000000
27 k=15 r=-2762239/5000000 delta=101/50000000 v=-596389/1000000
28 k=15 r=-2978743/10000000 delta=241/100000000 v=37027/100000
29 k=15 r=-522351/10000000 delta=201/100000000 v=978251/1000000
30 k=15 r=925379/5000000 delta=121/50000000 v=92283/125000
31 k=15 r=829209/2000000 delta=281/100000000 v=-8751/100000
32 k=15 r=3184227/5000000 delta=281/100000000 v=-82859/100000
33 k=16 r=-7185493/10000000 delta=173/100000000 v=-482231/500000
34 k=16 r=-2547893/5000000 delta=23/10000000 v=-28167/62500
35 k=16 r=-1533329/5000000 delta=173/100000000 v=337381/1000000
