M=32 sgn=-1 N=100 J=2 psi=45783/200000
1 k=0 r=-4471/78125 delta=21/100000000 v=973913/1000000
2 k=3 r=7755597/10000000 delta=127/50000000 v=-499613/500000
3 k=6 r=-1732771/2500000 delta=143/50000000 v=-932631/1000000
4 k=7 r=375519/10000000 delta=217/100000000 v=49437/50000
5 k=8 r=2519039/10000000 delta=37/12500000 v=266939/500000
6 k=9 r=1396801/10000000 delta=119/50000000 v=423967/500000
7 k=10 r=-494777/2500000 delta=169/100000000 v=702677/1000000
8 k=11 r=-87557/125000 delta=23/12500000 v=-58927/62500
9 k=11 r=2418083/10000000 delta=259/100000000 v=28379/50000
10 k=12 r=-4861039/10000000 delta=31/10000000 v=-364987/1000000
11 k=12 r=110551/400000 delta=23/10000000 v=448679/1000000
12 k=13 r=-2991639/5000000 delta=81/50000000 v=-732859/1000000
13 k=13 r=420139/10000000 delta=201/100000000 v=123239/125000
14 k=13 r=793597/1250000 delta=121/50000000 v=-412079/500000
15 k=14 r=-3839757/10000000 delta=311/100000000 v=17443/500000
16 k=14 r=52933/400000 delta=231/100000000 v=431573/500000
17 k=14 r=3086647/5000000 delta=191/100000000 v=-782407/1000000
18 k=15 r=-1240499/2500000 delta=91/50000000 v=-402277/1000000
19 k=15 r=-318309/5000000 delta=131/50000000 v=120969/125000
20 k=15 r=693369/2000000 delta=111/50000000 v=183021/1000000
21 k=15 r=3685029/5000000 delta=221/100000000 v=-245331/250000
22 k=16 r=-288519/625000 delta=17/10000000 v=-54449/200000
23 k=16 r=-1060163/10000000 delta=29/10000000 v=14241/15625
24 k=16 r=2344607/10000000 delta=21/10000000 v=591529/1000000
25 k=16 r=2805183/5000000 delta=1/400000 v=-77951/125000
26 k=17 r=-347997/500000 delta=199/100000000 v=-468367/500000
27 k=17 r=-1970357/5000000 delta=51/25000000 v=-5489/1000000
28 k=17 r=-515651/5000000 delta=279/100000000 v=916113/1000000
29 k=17 r=1776003/10000000 delta=239/100000000 v=7581/10000
30 k=17 r=4488127/10000000 delta=61/25000000 v=-8903/40000
31 k=17 r=7111313/10000000 delta=319/100000000 v=-956199/1000000
32 k=18 r=-3028377/5000000 delta=309/100000000 v=-94067/125000
33 k=18 r=-3595021/10000000 delta=107/50000000 v=66199/500000
34 k=18 r=-9428/78125 delta=229/100000000 v=885739/1000000
35 k=18 r=1112219/10000000 delta=107/50000000 v=902659/1000000
36 k=18 r=3365889/10000000 delta=189/100000000 v=222561/1000000
37 k=18 r=5557807/10000000 delta=269/100000000 v=-607037/1000000
38 k=18 r=3845633/5000000 delta=87/50000000 v=-997883/1000000
39 k=19 r=-2969329/5000000 delta=89/50000000 v=-3603/5000
40 k=19 r=-3913233/10000000 delta=37/20000000 v=5503/1000000
41 k=19 r=-60557/312500 delta=9/4000000 v=71433/100000
42 k=19 r=-501/500000 delta=129/50000000 v=124999/125000
43 k=19 r=93621/500000 delta=129/50000000 v=91549/125000
44 k=19 r=3711581/10000000 delta=109/50000000 v=86057/1000000
45 k=19 r=550941/1000000 delta=61/20000000 v=-29577/50000
46 k=19 r=3633861/5000000 delta=61/20000000 v=-97263/100000
47 k=20 r=-1343949/2000000 delta=327/100000000 v=-449417/500000
48 k=20 r=-314717/625000 delta=287/100000000 v=-214503/500000
49 k=20 r=-3385929/10000000 delta=79/25000000 v=214739/1000000
50 k=20 r=-110607/625000 delta=287/100000000 v=759739/1000000
51 k=20 r=-92751/5000000 delta=207/100000000 v=15582/15625
52 k=20 r=273589/2000000 delta=247/100000000 v=213499/250000
