M=71 sgn=1 N=100 J=8 psi=-19347/250000
1 k=0 r=193469/10000000 delta=41/100000000 v=997007/1000000
2 k=8 r=-609153/2500000 delta=557/100000000 v=280731/500000
3 k=12 r=837699/1250000 delta=63/10000000 v=-223907/250000
4 k=16 r=-2533347/5000000 delta=403/100000000 v=-220127/500000
5 k=18 r=39067/125000 delta=649/100000000 v=157593/500000
6 k=20 r=407151/1000000 delta=119/25000000 v=-2311/40000
7 k=22 r=17329/10000000 delta=193/50000000 v=124997/125000
8 k=24 r=-307871/400000 delta=53/12500000 v=-124753/125000
9 k=25 r=-9993/40000 delta=519/100000000 v=540891/1000000
10 k=26 r=495279/10000000 delta=33/5000000 v=24511/25000
11 k=27 r=213109/1250000 delta=491/100000000 v=388173/500000
12 k=28 r=360357/2500000 delta=391/100000000 v=838337/1000000
13 k=29 r=-29477/5000000 delta=201/50000000 v=499861/500000
14 k=30 r=-2612753/10000000 delta=27/5000000 v=250907/500000
15 k=31 r=-6074481/10000000 delta=719/100000000 v=-757187/1000000
16 k=31 r=2690553/5000000 delta=589/100000000 v=-2747/5000
17 k=32 r=434013/10000000 delta=439/100000000 v=123121/125000
18 k=33 r=-5128331/10000000 delta=81/20000000 v=-92451/200000
19 k=33 r=22343/50000 delta=21/4000000 v=-214953/1000000
20 k=34 r=-2134803/10000000 delta=253/50000000 v=82129/125000
21 k=34 r=6525451/10000000 delta=467/100000000 v=-215523/250000
22 k=35 r=-925209/10000000 delta=377/100000000 v=932297/1000000
23 k=35 r=3482489/5000000 delta=159/25000000 v=-937437/1000000
24 k=36 r=-1188653/10000000 delta=253/50000000 v=444541/500000
25 k=36 r=6057251/10000000 delta=273/50000000 v=-752667/1000000
26 k=37 r=-672259/2500000 delta=93/20000000 v=59399/125000
27 k=37 r=250617/625000 delta=219/50000000 v=-16573/500000
28 k=38 r=-2621417/5000000 delta=327/50000000 v=-50237/100000
29 k=38 r=7887/80000 delta=131/25000000 v=461623/500000
30 k=38 r=7003401/10000000 delta=579/100000000 v=-942677/1000000
31 k=39 r=-2884369/10000000 delta=693/100000000 v=50633/125000
32 k=39 r=110041/400000 delta=703/100000000 v=453231/1000000
33 k=40 r=-7494969/10000000 delta=21/5000000 v=-989707/1000000
34 k=40 r=-549017/2500000 delta=553/100000000 v=638363/1000000
35 k=40 r=147461/500000 delta=43/10000000 v=381213/1000000
36 k=41 r=-7758413/10000000 delta=231/50000000 v=-999269/1000000
37 k=41 r=-579019/2000000 delta=321/50000000 v=200569/500000
38 k=41 r=1838519/10000000 delta=411/100000000 v=741557/1000000
39 k=41 r=403073/625000 delta=49/12500000 v=-846231/1000000
40 k=42 r=-952977/2000000 delta=361/100000000 v=-164459/500000
41 k=42 r=-190973/5000000 delta=113/25000000 v=15443/15625
42 k=42 r=3895369/10000000 delta=621/100000000 v=1581/125000
43 k=43 r=-763593/1000000 delta=601/100000000 v=-996199/1000000
44 k=43 r=-3555291/10000000 delta=491/100000000 v=148133/1000000
45 k=43 r=433641/10000000 delta=311/50000000 v=492497/500000
46 k=43 r=4334897/10000000 delta=21/3125000 v=-162439/1000000
47 k=44 r=-1511143/2000000 delta=9/1250000 v=-992891/1000000
48 k=44 r=-763747/2000000 delta=33/5000000 v=43289/1000000
49 k=44 r=-158811/10000000 delta=693/100000000 v=997983/1000000
50 k=44 r=3427169/10000000 delta=7/1000000 v=198599/1000000
51 k=44 r=867767/1250000 delta=3/625000 v=-934217/1000000
52 k=45 r=-2659559/5000000 delta=619/100000000 v=-105703/200000
53 k=45 r=-1938063/10000000 delta=639/100000000 v=714263/1000000
54 k=45 r=1379791/10000000 delta=389/100000000 v=851521/1000000
55 k=45 r=4636763/10000000 delta=297/50000000 v=-28011/100000
56 k=45 r=979381/1250000 delta=161/25000000 v=-999971/1000000
57 k=46 r=-4731241/10000000 delta=91/20000000 v=-15809/50000
58 k=46 r=-822103/5000000 delta=319/50000000 v=791411/1000000
59 k=46 r=278011/2000000 delta=219/50000000 v=849361/1000000
60 k=46 r=4373319/10000000 delta=17/4000000 v=-11099/62500
61 k=46 r=730727/1000000 delta=87/20000000 v=-122023/125000
62 k=47 r=-5514451/10000000 delta=23/4000000 v=-118633/200000
63 k=47 r=-267439/1000000 delta=269/50000000 v=240169/500000
64 k=47 r=120943/10000000 delta=113/20000000 v=99883/100000
65 k=47 r=359117/1250000 delta=93/20000000 v=409241/1000000
66 k=47 r=5582913/10000000 delta=209/50000000 v=-614987/1000000
67 k=48 r=-7455827/10000000 delta=577/100000000 v=-197469/200000
68 k=48 r=-96523/200000 delta=707/100000000 v=-351959/1000000
69 k=48 r=-2234863/10000000 delta=707/100000000 v=626341/1000000
70 k=48 r=159569/5000000 delta=437/100000000 v=991863/1000000
71 k=48 r=2836911/10000000 delta=67/12500000 v=211173/500000
72 k=48 r=5319469/10000000 delta=587/100000000 v=-105727/200000
73 k=48 r=7767783/10000000 delta=457/100000000 v=-499703/500000
74 k=49 r=-5525177/10000000 delta=627/100000000 v=-596613/1000000
75 k=49 r=-314259/1000000 delta=77/12500000 v=154319/500000
76 k=49 r=-791563/10000000 delta=57/12500000 v=237573/250000
77 k=49 r=382183/2500000 delta=283/50000000 v=102349/125000
78 k=49 r=1909543/5000000 delta=273/50000000 v=43149/1000000
79 k=49 r=6080263/10000000 delta=183/50000000 v=-94837/125000
80 k=50 r=-3697483/5000000 delta=119/25000000 v=-122899/125000
81 k=50 r=-5189969/10000000 delta=367/100000000 v=-19359/40000
82 k=50 r=-753007/2500000 delta=13/3125000 v=357869/1000000
83 k=50 r=-430243/5000000 delta=169/25000000 v=235337/250000
84 k=50 r=158161/1250000 delta=23/3125000 v=437317/500000
85 k=50 r=210369/625000 delta=377/100000000 v=44511/200000
86 k=50 r=5441951/10000000 delta=657/100000000 v=-569571/1000000
87 k=50 r=7493997/10000000 delta=303/50000000 v=-989651/1000000
88 k=51 r=-6185373/10000000 delta=129/20000000 v=-785407/1000000
89 k=51 r=-2089851/5000000 delta=229/50000000 v=-6307/62500
90 k=51 r=-2196441/10000000 delta=117/25000000 v=79781/125000
91 k=51 r=-47019/2000000 delta=91/12500000 v=497791/500000
92 k=51 r=340963/2000000 delta=259/50000000 v=19409/25000
93 k=51 r=3623753/10000000 delta=81/12500000 v=60499/500000
94 k=51 r=5522167/10000000 delta=289/50000000 v=-595647/1000000
95 k=51 r=7400491/10000000 delta=157/25000000 v=-983593/1000000
96 k=52 r=-403051/625000 delta=649/100000000 v=-211539/250000
97 k=52 r=-2304711/5000000 delta=529/100000000 v=-53919/200000
98 k=52 r=-2788893/10000000 delta=539/100000000 v=439677/1000000
99 k=52 r=-986847/10000000 delta=187/50000000 v=923097/1000000
100 k=52 r=24909/312500 delta=609/100000000 v=949601/1000000
