M=97 sgn=-1 N=100 J=14 psi=-979041/1000000
1 k=0 r=1223801/5000000 delta=21/100000000 v=557819/1000000
2 k=11 r=-2251803/10000000 delta=749/100000000 v=124209/200000
3 k=17 r=912853/5000000 delta=103/12500000 v=372493/500000
4 k=22 r=-6951207/10000000 delta=587/100000000 v=-187101/200000
5 k=25 r=18607/5000000 delta=437/50000000 v=999889/1000000
6 k=28 r=-1436849/5000000 delta=331/50000000 v=408963/1000000
7 k=30 r=618383/2000000 delta=13/2500000 v=327853/1000000
8 k=32 r=4057351/10000000 delta=599/100000000 v=-1303/25000
9 k=34 r=1203811/10000000 delta=23/3125000 v=88629/100000
10 k=36 r=-4662191/10000000 delta=867/100000000 v=-14493/50000
11 k=37 r=548513/2000000 delta=349/50000000 v=91249/200000
12 k=39 r=-7573103/10000000 delta=513/100000000 v=-198739/200000
13 k=40 r=-387071/1000000 delta=13/2500000 v=2251/100000
14 k=41 r=-160749/1000000 delta=361/50000000 v=800303/1000000
15 k=42 r=-584681/10000000 delta=961/100000000 v=121597/125000
16 k=43 r=-642053/10000000 delta=761/100000000 v=483601/500000
17 k=44 r=-824273/5000000 delta=57/10000000 v=790349/1000000
18 k=45 r=-1747797/5000000 delta=267/50000000 v=21463/125000
19 k=46 r=-190383/312500 delta=149/20000000 v=-190453/250000
20 k=46 r=49581/78125 delta=139/20000000 v=-205903/250000
21 k=47 r=123501/500000 delta=19/3125000 v=275177/500000
22 k=48 r=-48921/250000 delta=31/6250000 v=708987/1000000
23 k=49 r=-6885251/10000000 delta=423/50000000 v=-46293/50000
24 k=49 r=53679/156250 delta=343/50000000 v=3907/20000
25 k=50 r=-1186587/5000000 delta=189/25000000 v=582277/1000000
26 k=50 r=7137849/10000000 delta=313/50000000 v=-239813/250000
27 k=51 r=116383/2000000 delta=19/3125000 v=121629/125000
28 k=52 r=-3153447/5000000 delta=221/25000000 v=-162911/200000
29 k=52 r=2202751/10000000 delta=347/50000000 v=636303/1000000
30 k=53 r=-2642043/5000000 delta=39/5000000 v=-64571/125000
31 k=53 r=1333723/5000000 delta=943/100000000 v=482773/1000000
32 k=54 r=-2670729/5000000 delta=963/100000000 v=-6701/12500
33 k=54 r=2120669/10000000 delta=57/10000000 v=165321/250000
34 k=55 r=-6347951/10000000 delta=193/25000000 v=-823971/1000000
35 k=55 r=681527/10000000 delta=571/100000000 v=963071/1000000
36 k=55 r=1502593/2000000 delta=153/25000000 v=-990711/1000000
37 k=56 r=-1550747/10000000 delta=861/100000000 v=162741/200000
38 k=56 r=4916303/10000000 delta=143/25000000 v=-385477/1000000
39 k=57 r=-898521/2000000 delta=541/100000000 v=-701/3125
40 k=57 r=1646963/10000000 delta=123/25000000 v=49421/62500
41 k=57 r=3817461/5000000 delta=79/12500000 v=-996163/1000000
42 k=58 r=-445877/2000000 delta=81/10000000 v=39253/62500
43 k=58 r=3476761/10000000 delta=41/5000000 v=2239/12500
44 k=59 r=-1331249/2000000 delta=679/100000000 v=-887413/1000000
45 k=59 r=-1206577/10000000 delta=427/50000000 v=885777/1000000
46 k=59 r=1030827/2500000 delta=231/25000000 v=-39223/500000
47 k=60 r=-6369401/10000000 delta=247/25000000 v=-414401/500000
48 k=60 r=-1263949/10000000 delta=111/12500000 v=437447/500000
49 k=60 r=934057/2500000 delta=37/4000000 v=76231/1000000
50 k=61 r=-7072579/10000000 delta=479/50000000 v=-951549/1000000
