Mn=525 den=2 N=250 errco=8780 C250=2597607/250000
2 k=29 r=-326559/5000000 delta=13293/1000000000 v=966069/1000000
3 k=46 r=-1602021/10000000 delta=827/62500000 v=801613/1000000
4 k=58 r=-653101/5000000 delta=3317/250000000 v=108323/125000
5 k=67 r=940029/2500000 delta=13233/1000000000 v=667/10000
6 k=75 r=-1127553/5000000 delta=657/50000000 v=620009/1000000
7 k=81 r=4658511/10000000 delta=661/50000000 v=-5769/20000
8 k=87 r=-1959287/10000000 delta=1647/125000000 v=88537/125000
9 k=92 r=-320401/1000000 delta=13241/1000000000 v=142589/500000
10 k=96 r=621393/2000000 delta=6631/500000000 v=4027/12500
11 k=100 r=2822431/10000000 delta=6567/500000000 v=427589/1000000
12 k=104 r=-2908191/10000000 delta=2641/200000000 v=198167/500000
13 k=107 r=2495941/10000000 delta=13233/1000000000 v=135417/250000
14 k=110 r=2002713/5000000 delta=26/1953125 v=-31369/1000000
15 k=113 r=2158127/10000000 delta=331/25000000 v=64997/100000
16 k=116 r=-653093/2500000 delta=13169/1000000000 v=250973/500000
17 k=118 r=1151319/2000000 delta=6627/500000000 v=-668241/1000000
18 k=121 r=-1928547/5000000 delta=333/25000000 v=5591/200000
19 k=123 r=208579/10000000 delta=2627/200000000 v=498261/500000
20 k=125 r=2453881/10000000 delta=13299/1000000000 v=555733/1000000
21 k=127 r=3056523/10000000 delta=13213/1000000000 v=170597/500000
22 k=129 r=1084673/5000000 delta=529/40000000 v=323277/500000
23 k=131 r=-75087/10000000 delta=13311/1000000000 v=999549/1000000
24 k=133 r=-890319/2500000 delta=13297/1000000000 v=29153/200000
25 k=134 r=7520199/10000000 delta=829/62500000 v=-9911/10000
26 k=136 r=230357/1250000 delta=533/40000000 v=92549/125000
27 k=138 r=-2402999/5000000 delta=1649/125000000 v=-344403/1000000
28 k=139 r=1676171/5000000 delta=13249/1000000000 v=227841/1000000
29 k=141 r=-5034919/10000000 delta=6607/500000000 v=-428807/1000000
30 k=142 r=1504977/10000000 delta=13171/1000000000 v=82421/100000
31 k=143 r=1463077/2000000 delta=533/40000000 v=-976883/1000000
32 k=145 r=-3265457/10000000 delta=663/50000000 v=8173/31250
33 k=146 r=1220443/10000000 delta=133/10000000 v=883189/1000000
34 k=147 r=5103511/10000000 delta=13307/1000000000 v=-113357/250000
35 k=149 r=-7289369/10000000 delta=13171/1000000000 v=-194921/200000
36 k=150 r=-4510179/10000000 delta=3307/250000000 v=-46233/200000
37 k=151 r=-2237549/10000000 delta=13217/1000000000 v=19547/31250
38 k=152 r=-222253/5000000 delta=1321/100000000 v=196847/200000
39 k=153 r=893953/10000000 delta=33/2500000 v=468373/500000
40 k=154 r=450199/2500000 delta=13207/1000000000 v=187899/250000
41 k=155 r=2297351/10000000 delta=13239/1000000000 v=606663/1000000
42 k=156 r=1201719/5000000 delta=13131/1000000000 v=572393/1000000
43 k=157 r=427473/2000000 delta=6637/500000000 v=656259/1000000
44 k=158 r=1516261/10000000 delta=13317/1000000000 v=410823/500000
45 k=159 r=556073/10000000 delta=1321/100000000 v=243841/250000
46 k=160 r=-728237/10000000 delta=13153/1000000000 v=957873/1000000
47 k=161 r=-2322691/10000000 delta=3299/250000000 v=299287/500000
48 k=162 r=-105359/250000 delta=2653/200000000 v=-22939/200000
49 k=163 r=-3195487/5000000 delta=13281/1000000000 v=-521/625
50 k=163 r=3433557/5000000 delta=3293/250000000 v=-461547/500000
51 k=164 r=4154607/10000000 delta=13179/1000000000 v=-90921/1000000
52 k=165 r=297443/2500000 delta=3309/250000000 v=888877/1000000
53 k=166 r=-201781/1000000 delta=13243/1000000000 v=691579/1000000
54 k=167 r=-5459083/10000000 delta=13153/1000000000 v=-57519/100000
55 k=167 r=3291257/5000000 delta=263/20000000 v=-873433/1000000
56 k=168 r=2699191/10000000 delta=2649/200000000 v=235807/500000
57 k=169 r=-1393409/10000000 delta=2663/200000000 v=848653/1000000
58 k=170 r=-1422001/2500000 delta=13131/1000000000 v=-647581/1000000
59 k=170 r=1382549/2500000 delta=13131/1000000000 v=-598223/1000000
60 k=171 r=212973/2500000 delta=6587/500000000 v=471251/500000
61 k=172 r=-2004359/5000000 delta=821/62500000 v=-6537/200000
62 k=172 r=1332447/2000000 delta=13167/1000000000 v=-177703/200000
63 k=173 r=727267/5000000 delta=13259/1000000000 v=835467/1000000
64 k=174 r=-3918607/10000000 delta=13151/1000000000 v=1677/500000
65 k=174 r=782003/1250000 delta=6601/500000000 v=-802583/1000000
66 k=175 r=283679/5000000 delta=1651/125000000 v=974359/1000000
67 k=176 r=-329499/625000 delta=1661/125000000 v=-512417/1000000
68 k=176 r=2225213/5000000 delta=2643/200000000 v=-25981/125000
69 k=177 r=-67083/400000 delta=13131/1000000000 v=391653/500000
70 k=177 r=7765509/10000000 delta=13281/1000000000 v=-499687/500000
71 k=178 r=136619/1000000 delta=13179/1000000000 v=854361/1000000
72 k=179 r=-40338/78125 delta=13137/1000000000 v=-2373/5000
73 k=179 r=3888589/10000000 delta=6583/500000000 v=48/3125
74 k=180 r=-2890699/10000000 delta=6597/500000000 v=100687/250000
75 k=180 r=591821/1000000 delta=13209/1000000000 v=-142981/200000
76 k=181 r=-1097591/10000000 delta=6651/500000000 v=452581/500000
77 k=181 r=299239/400000 delta=411/31250000 v=-98889/100000
78 k=182 r=60217/2500000 delta=2629/200000000 v=497681/500000
79 k=183 r=-3553563/5000000 delta=2663/200000000 v=-955707/1000000
80 k=183 r=1147711/10000000 delta=6569/500000000 v=896459/1000000
81 k=184 r=-6407987/10000000 delta=83/6250000 v=-41867/50000
82 k=184 r=1644267/10000000 delta=13323/1000000000 v=197849/250000
83 k=185 r=-1527257/2500000 delta=1313/100000000 v=-766141/1000000
84 k=185 r=21879/125000 delta=26423/1000000000 v=19119/25000
85 k=186 r=-1238257/2000000 delta=13137/1000000000 v=-196717/250000
86 k=186 r=296843/2000000 delta=13137/1000000000 v=207221/250000
87 k=187 r=-1659227/2500000 delta=13259/1000000000 v=-883821/1000000
88 k=187 r=863177/10000000 delta=3311/250000000 v=117623/125000
89 k=188 r=-742949/1000000 delta=3313/250000000 v=-985619/1000000
90 k=188 r=-24253/2500000 delta=6651/500000000 v=999247/1000000
91 k=188 r=7154453/10000000 delta=26451/1000000000 v=-240277/250000
92 k=189 r=-690661/5000000 delta=2649/200000000 v=532/625
93 k=189 r=5713331/10000000 delta=2659/200000000 v=-655267/1000000
94 k=190 r=-2975841/10000000 delta=413/31250000 v=92837/250000
95 k=190 r=1984331/5000000 delta=6583/500000000 v=-4167/250000
96 k=191 r=-4867511/10000000 delta=1323/100000000 v=-91849/250000
97 k=191 r=1933077/10000000 delta=13223/1000000000 v=357829/500000
98 k=192 r=-3522029/5000000 delta=83/6250000 v=-947979/1000000
99 k=192 r=-190773/5000000 delta=13173/1000000000 v=123547/125000
100 k=192 r=6213963/10000000 delta=13323/1000000000 v=-396217/500000
101 k=193 r=-59281/200000 delta=413/31250000 v=375723/1000000
102 k=193 r=1750761/5000000 delta=6583/500000000 v=169367/1000000
