Mn=495 den=2 sgn=-1 N=1000 J=53 psi=301547/500000 u1000=9979/250000 d1000=12399/1000000000 r1000=99817/10000000 k1000=272
1 k=0 r=-301547/2000000 delta=1/1000000000 v=164717/200000
2 k=27 r=407757/1250000 delta=2489/200000000 v=262849/1000000
3 k=43 r=1408087/5000000 delta=12443/1000000000 v=8597/20000
4 k=55 r=-3838043/5000000 delta=12507/1000000000 v=-997469/1000000
5 k=63 r=4730311/10000000 delta=1563/125000000 v=-315827/1000000
6 k=70 r=1896499/2500000 delta=3101/250000000 v=-49713/50000
7 k=77 r=-6989001/10000000 delta=1563/125000000 v=-940739/1000000
8 k=82 r=-363283/1250000 delta=12413/1000000000 v=397041/1000000
9 k=86 r=3570057/5000000 delta=3121/250000000 v=-239877/250000
10 k=91 r=-6207893/10000000 delta=6249/500000000 v=-790951/1000000
11 k=94 r=1410351/2500000 delta=3119/250000000 v=-126653/200000
12 k=98 r=-1676073/5000000 delta=3137/250000000 v=227917/1000000
13 k=101 r=-189923/2000000 delta=3119/250000000 v=464361/500000
14 k=104 r=-110959/500000 delta=2511/200000000 v=631219/1000000
15 k=107 r=-415857/625000 delta=1257/100000000 v=-177389/200000
16 k=109 r=931779/5000000 delta=6217/500000000 v=734801/1000000
17 k=112 r=-7748861/10000000 delta=12497/1000000000 v=-249779/250000
18 k=114 r=-3798027/10000000 delta=1247/100000000 v=51563/1000000
19 k=116 r=-879937/5000000 delta=12469/1000000000 v=190573/250000
20 k=118 r=-1438071/10000000 delta=3101/250000000 v=209767/250000
21 k=120 r=-2665061/10000000 delta=12463/1000000000 v=60451/125000
22 k=122 r=-2648369/5000000 delta=3119/250000000 v=-104179/200000
23 k=123 r=129997/200000 delta=3117/250000000 v=-428429/500000
24 k=125 r=354419/2500000 delta=6227/500000000 v=421739/500000
25 k=127 r=-2369819/5000000 delta=311/25000000 v=-63873/200000
26 k=128 r=3820207/10000000 delta=12383/1000000000 v=42701/1000000
27 k=130 r=-4243909/10000000 delta=6209/500000000 v=-31607/250000
28 k=131 r=1275321/5000000 delta=12461/1000000000 v=523147/1000000
