Mn=315 den=1 sgn=1 N=500 J=73 psi=393/31250 u500=-22993/62500 d500=7921/500000000 r500=-345607/500000 k500=312
1 k=0 r=-393/125000 delta=1/1000000000 v=999921/1000000
2 k=35 r=-1978387/5000000 delta=317/20000000 v=-11913/1000000
3 k=55 r=1187727/10000000 delta=15807/1000000000 v=889251/1000000
4 k=69 r=1565179/2000000 delta=7903/500000000 v=-999937/1000000
5 k=81 r=-4944079/10000000 delta=15783/1000000000 v=-79141/200000
6 k=90 r=-2737567/10000000 delta=1981/125000000 v=458023/1000000
7 k=98 r=-7007597/10000000 delta=3161/200000000 v=-235809/250000
8 k=104 r=3900601/10000000 delta=1981/125000000 v=2639/250000
9 k=110 r=1203467/5000000 delta=15891/1000000000 v=285623/500000
10 k=115 r=6838511/10000000 delta=493/31250000 v=-459317/500000
11 k=120 r=3355477/10000000 delta=99/6250000 v=11331/50000
12 k=125 r=-3331431/5000000 delta=497/31250000 v=-88863/100000
13 k=129 r=-201909/312500 delta=1991/125000000 v=-424381/500000
14 k=132 r=149221/312500 delta=15849/1000000000 v=-332763/1000000
15 k=136 r=-3724873/10000000 delta=637/40000000 v=80759/1000000
16 k=139 r=-12347/5000000 delta=497/31250000 v=999951/1000000
17 k=142 r=593289/10000000 delta=7891/500000000 v=971973/1000000
18 k=145 r=-1518361/10000000 delta=793/50000000 v=410583/500000
19 k=148 r=-6064331/10000000 delta=15939/1000000000 v=-754529/1000000
20 k=150 r=2913217/10000000 delta=7939/500000000 v=394487/1000000
21 k=153 r=-5788391/10000000 delta=15903/1000000000 v=-42353/62500
22 k=155 r=-569817/10000000 delta=7907/500000000 v=974137/1000000
23 k=157 r=3020049/10000000 delta=15829/1000000000 v=44359/125000
24 k=159 r=5119807/10000000 delta=793/50000000 v=-114807/250000
25 k=161 r=2925603/5000000 delta=15857/1000000000 v=-69591/100000
26 k=163 r=266079/500000 delta=15931/1000000000 v=-529351/1000000
27 k=165 r=181307/500000 delta=15817/1000000000 v=2401/20000
28 k=167 r=849777/10000000 delta=15903/1000000000 v=14731/15625
29 k=169 r=-11727/40000 delta=3183/200000000 v=24229/62500
30 k=171 r=-3825123/5000000 delta=7937/500000000 v=-996681/1000000
31 k=172 r=2463837/10000000 delta=15867/1000000000 v=552417/1000000
32 k=174 r=-987497/2500000 delta=1969/125000000 v=-9199/1000000
33 k=175 r=1143671/2500000 delta=7929/500000000 v=-256189/1000000
34 k=177 r=-666401/2000000 delta=31/1953125 v=117877/500000
35 k=178 r=473461/1250000 delta=15879/1000000000 v=13923/250000
36 k=180 r=-1088731/2000000 delta=7897/500000000 v=-570131/1000000
37 k=181 r=212547/5000000 delta=7901/500000000 v=492789/500000
38 k=182 r=2859169/5000000 delta=3179/200000000 v=-656779/1000000
39 k=184 r=-2620941/5000000 delta=789/50000000 v=-12551/25000
40 k=185 r=-506039/5000000 delta=15873/1000000000 v=919169/1000000
41 k=186 r=1362691/5000000 delta=15937/1000000000 v=9247/20000
42 k=187 r=2997139/5000000 delta=15859/1000000000 v=-367923/500000
43 k=189 r=-344569/500000 delta=3189/200000000 v=-926783/1000000
44 k=190 r=-561889/1250000 delta=15937/1000000000 v=-112649/500000
45 k=191 r=-501149/2000000 delta=1583/100000000 v=538367/1000000
46 k=192 r=-226331/2500000 delta=397/25000000 v=116893/125000
47 k=193 r=80731/2500000 delta=15887/1000000000 v=991669/1000000
48 k=194 r=1194513/10000000 delta=7897/500000000 v=444003/500000
49 k=195 r=172417/1000000 delta=7951/500000000 v=771457/1000000
50 k=196 r=1925911/10000000 delta=7947/500000000 v=717657/1000000
