Mn=715 den=2 sgn=-1 N=1200 eps=10000 J=87 psi=-125029/500000 u1200=153833/500000 d1200=3599/200000000 r1200=7072133/10000000 k1200=403
1 k=0 r=125029/2000000 delta=1/1000000000 v=484449/500000
2 k=39 r=7514843/10000000 delta=4483/250000000 v=-990813/1000000
3 k=63 r=-3545921/5000000 delta=9027/500000000 v=-95389/100000
4 k=79 r=-651689/5000000 delta=8967/500000000 v=867147/1000000
5 k=92 r=-1518077/2500000 delta=17941/1000000000 v=-756619/1000000
6 k=102 r=-2021/100000 delta=17919/1000000000 v=498367/500000
7 k=111 r=-3801581/10000000 delta=4487/250000000 v=50143/1000000
8 k=118 r=1117273/2000000 delta=17999/1000000000 v=-24643/40000
9 k=125 r=449589/5000000 delta=1119/62500000 v=936013/1000000
10 k=131 r=163469/2000000 delta=18011/1000000000 v=94703/100000
11 k=136 r=373051/500000 delta=719/40000000 v=-123459/125000
12 k=141 r=6687643/10000000 delta=9007/500000000 v=-223283/250000
13 k=146 r=-314011/10000000 delta=18053/1000000000 v=496061/500000
14 k=150 r=3088161/10000000 delta=721/40000000 v=329271/1000000
15 k=154 r=1918713/10000000 delta=18007/1000000000 v=719659/1000000
16 k=158 r=-201991/625000 delta=8943/500000000 v=54897/200000
17 k=161 r=382749/1000000 delta=9023/500000000 v=3979/100000
18 k=164 r=7788921/10000000 delta=18029/1000000000 v=-999661/1000000
19 k=168 r=-1680093/2500000 delta=9029/500000000 v=-14046/15625
20 k=170 r=481693/625000 delta=8961/500000000 v=-499137/500000
21 k=173 r=4189439/10000000 delta=18009/1000000000 v=-104787/1000000
22 k=176 r=-3393/25000 delta=3613/200000000 v=26757/31250
23 k=178 r=6955669/10000000 delta=8987/500000000 v=-468067/500000
24 k=181 r=-1065289/5000000 delta=17901/1000000000 v=131661/200000
25 k=183 r=1469079/5000000 delta=3583/200000000 v=3853/10000
26 k=185 r=1643933/2500000 delta=447/25000000 v=-872109/1000000
27 k=188 r=-1363553/2000000 delta=9001/500000000 v=-915323/1000000
28 k=190 r=-5730059/10000000 delta=563/31250000 v=-660307/1000000
29 k=192 r=-5783137/10000000 delta=18073/1000000000 v=-676101/1000000
30 k=194 r=-6899597/10000000 delta=4511/250000000 v=-928013/1000000
31 k=195 r=1674603/2500000 delta=18051/1000000000 v=-895061/1000000
32 k=197 r=3657887/10000000 delta=9033/500000000 v=53717/500000
33 k=199 r=-255923/10000000 delta=18073/1000000000 v=198953/200000
34 k=201 r=-499073/1000000 delta=3599/200000000 v=-103193/250000
35 k=202 r=1041777/2000000 delta=4513/250000000 v=-245291/500000
36 k=204 r=-10293/100000 delta=4479/250000000 v=458217/500000
37 k=205 r=7750593/10000000 delta=17923/1000000000 v=-199829/200000
38 k=207 r=16937/1000000 delta=3583/200000000 v=498853/500000
39 k=208 r=767701/1000000 delta=3579/200000000 v=-124687/125000
40 k=210 r=-1111133/10000000 delta=2243/125000000 v=451423/500000
41 k=211 r=1049983/2000000 delta=17937/1000000000 v=-504817/1000000
42 k=213 r=-4628781/10000000 delta=18031/1000000000 v=-69261/250000
43 k=214 r=17341/250000 delta=4497/250000000 v=192351/200000
44 k=215 r=2766271/5000000 delta=4477/250000000 v=-23959/40000
45 k=217 r=-5798319/10000000 delta=18059/1000000000 v=-680563/1000000
46 k=218 r=-1862641/10000000 delta=1121/62500000 v=14701/20000
47 k=219 r=412663/2500000 delta=9037/500000000 v=98729/125000
48 k=220 r=1189791/2500000 delta=2259/125000000 v=-81689/250000
49 k=221 r=7479611/10000000 delta=3593/200000000 v=-988809/1000000
50 k=223 r=-5880063/10000000 delta=359/20000000 v=-704153/1000000
51 k=224 r=-972363/2500000 delta=1801/100000000 v=3003/200000
52 k=225 r=-2242489/10000000 delta=8993/500000000 v=623961/1000000
53 k=226 r=-926123/10000000 delta=8987/500000000 v=186433/200000
54 k=227 r=35989/5000000 delta=17931/1000000000 v=499793/500000
55 k=228 r=763523/10000000 delta=4497/250000000 v=238431/250000
56 k=229 r=579797/5000000 delta=8973/500000000 v=447171/500000
57 k=230 r=158831/1250000 delta=179/10000000 v=873593/1000000
58 k=231 r=553303/5000000 delta=17893/1000000000 v=903623/1000000
59 k=232 r=676763/10000000 delta=17967/1000000000 v=963583/1000000
60 k=233 r=-1971/2000000 delta=17929/1000000000 v=124999/125000
61 k=234 r=-236189/2500000 delta=8991/500000000 v=929441/1000000
62 k=235 r=-1059949/5000000 delta=9007/500000000 v=132303/200000
63 k=236 r=-3527503/10000000 delta=9023/500000000 v=39779/250000
64 k=237 r=-645053/1250000 delta=361/20000000 v=-296/625
65 k=238 r=-1752877/2500000 delta=1791/100000000 v=-471877/500000
66 k=238 r=331691/500000 delta=17893/1000000000 v=-441621/500000
67 k=239 r=218299/500000 delta=17917/1000000000 v=-34939/200000
68 k=240 r=474753/2500000 delta=8989/500000000 v=181277/250000
69 k=241 r=-380637/5000000 delta=18071/1000000000 v=476997/500000
70 k=242 r=-451167/1250000 delta=17939/1000000000 v=396/3125
71 k=243 r=-6639813/10000000 delta=8973/500000000 v=-221091/250000
72 k=243 r=2930221/5000000 delta=18057/1000000000 v=-349279/500000
73 k=244 r=2480241/10000000 delta=179/10000000 v=68367/125000
