Mn=389 den=1 sgn=1 N=900 eps=10000 J=97 psi=-474833/250000 u900=325667/1000000 d900=2453/125000000 r900=7024689/10000000 k900=421
1 k=0 r=474833/1000000 delta=1/1000000000 v=-322657/1000000
2 k=43 r=3391513/10000000 delta=1951/100000000 v=212557/1000000
3 k=68 r=5007241/10000000 delta=1949/100000000 v=-418779/1000000
4 k=86 r=254343/1250000 delta=153/7812500 v=68667/100000
5 k=100 r=-86959/1000000 delta=19619/1000000000 v=940113/1000000
6 k=111 r=456309/1250000 delta=3921/200000000 v=55191/500000
7 k=121 r=-703521/2000000 delta=19633/1000000000 v=163023/1000000
8 k=129 r=84747/1250000 delta=2441/125000000 v=963453/1000000
9 k=136 r=26331/50000 delta=157/8000000 v=-510429/1000000
10 k=143 r=-278307/1250000 delta=2441/125000000 v=628959/1000000
11 k=149 r=-1892533/5000000 delta=19571/1000000000 v=56739/1000000
12 k=154 r=286713/1250000 delta=19507/1000000000 v=303911/500000
13 k=159 r=1595413/10000000 delta=489/25000000 v=80319/100000
14 k=164 r=-4874373/10000000 delta=19479/1000000000 v=-92487/250000
15 k=168 r=-610631/10000000 delta=3899/200000000 v=485159/500000
16 k=172 r=-678793/10000000 delta=19567/1000000000 v=192673/200000
17 k=176 r=-2276611/5000000 delta=3913/200000000 v=-247881/1000000
18 k=179 r=488679/1250000 delta=19487/1000000000 v=7023/1000000
19 k=183 r=-6342069/10000000 delta=3903/200000000 v=-205659/250000
20 k=186 r=-143329/400000 delta=9783/500000000 v=137073/1000000
21 k=189 r=-651729/2000000 delta=9729/500000000 v=52833/200000
22 k=192 r=-1028367/2000000 delta=19523/1000000000 v=-233519/500000
23 k=194 r=3335807/5000000 delta=19509/1000000000 v=-89023/100000
24 k=197 r=187387/2000000 delta=19587/1000000000 v=93059/100000
25 k=200 r=-6487559/10000000 delta=19637/1000000000 v=-854313/1000000
26 k=202 r=47729/2000000 delta=611/31250000 v=995447/1000000
27 k=204 r=138129/250000 delta=9733/500000000 v=-9322/15625
28 k=207 r=-3115571/5000000 delta=3923/200000000 v=-398303/500000
29 k=209 r=-3520779/10000000 delta=19501/1000000000 v=161771/1000000
30 k=211 r=-1967497/10000000 delta=19587/1000000000 v=352987/500000
31 k=213 r=-299049/2000000 delta=19631/1000000000 v=103301/125000
32 k=215 r=-2035561/10000000 delta=3909/200000000 v=686433/1000000
33 k=217 r=-3526107/10000000 delta=2443/125000000 v=159667/1000000
34 k=219 r=-5909991/10000000 delta=19529/1000000000 v=-356301/500000
35 k=220 r=657239/1000000 delta=19581/1000000000 v=-435727/500000
36 k=222 r=2552663/10000000 delta=2451/125000000 v=261229/500000
37 k=224 r=-277217/1250000 delta=19593/1000000000 v=631667/1000000
38 k=226 r=-3849419/5000000 delta=19579/1000000000 v=-39923/40000
39 k=227 r=1854373/10000000 delta=19531/1000000000 v=92161/125000
40 k=229 r=-4939993/10000000 delta=9773/500000000 v=-394203/1000000
41 k=230 r=3365597/10000000 delta=19453/1000000000 v=8907/40000
42 k=232 r=-2307707/5000000 delta=4909/250000000 v=-135951/500000
43 k=233 r=1280017/5000000 delta=19629/1000000000 v=259971/500000
44 k=235 r=-6498603/10000000 delta=19589/1000000000 v=-856601/1000000
45 k=236 r=-351769/10000000 delta=19607/1000000000 v=990117/1000000
46 k=237 r=1328687/2500000 delta=49/2500000 v=-527031/1000000
47 k=239 r=-5186301/10000000 delta=19617/1000000000 v=-48269/100000
48 k=240 r=-419833/10000000 delta=781/40000000 v=246483/250000
49 k=241 r=490547/1250000 delta=1227/62500000 v=523/500000
50 k=243 r=-980541/1250000 delta=19457/1000000000 v=-999993/1000000
51 k=244 r=-4294263/10000000 delta=391/20000000 v=-146381/1000000
52 k=245 r=-279531/2500000 delta=19543/1000000000 v=22541/25000
53 k=246 r=1698287/10000000 delta=3927/200000000 v=778003/1000000
54 k=247 r=4168391/10000000 delta=4907/250000000 v=-9641/100000
55 k=248 r=197029/312500 delta=9741/500000000 v=-407049/500000
56 k=250 r=-7588007/10000000 delta=4899/250000000 v=-497173/500000
57 k=251 r=-608311/1000000 delta=19599/1000000000 v=-759437/1000000
58 k=252 r=-4877547/10000000 delta=19611/1000000000 v=-371127/1000000
59 k=253 r=-3961207/10000000 delta=3917/200000000 v=-6843/500000
60 k=254 r=-664853/2000000 delta=781/40000000 v=119381/500000
61 k=255 r=-739371/2500000 delta=4883/250000000 v=75631/200000
62 k=256 r=-2852111/10000000 delta=19539/1000000000 v=416827/1000000
63 k=257 r=-599937/2000000 delta=19647/1000000000 v=14499/40000
64 k=258 r=-3392427/10000000 delta=9727/500000000 v=1061/5000
65 k=259 r=-1005639/2500000 delta=9771/500000000 v=-38217/1000000
66 k=260 r=-39063/80000 delta=1223/62500000 v=-74621/200000
67 k=261 r=-5966481/10000000 delta=2441/125000000 v=-728271/1000000
68 k=262 r=-7266759/10000000 delta=19583/1000000000 v=-48627/50000
69 k=262 r=3465287/5000000 delta=19583/1000000000 v=-932557/1000000
70 k=263 r=5215621/10000000 delta=19513/1000000000 v=-7702/15625
71 k=264 r=3302181/10000000 delta=9803/500000000 v=24733/100000
72 k=265 r=239179/2000000 delta=1219/62500000 v=110969/125000
73 k=266 r=-274521/2500000 delta=19511/1000000000 v=452539/500000
74 k=267 r=-3574601/10000000 delta=9809/500000000 v=14049/100000
75 k=268 r=-31143/50000 delta=19477/1000000000 v=-795991/1000000
76 k=268 r=6652357/10000000 delta=19477/1000000000 v=-177339/200000
77 k=269 r=3657011/10000000 delta=1947/100000000 v=53891/500000
78 k=270 r=124401/2500000 delta=19563/1000000000 v=980257/1000000
79 k=271 r=-2821681/10000000 delta=19647/1000000000 v=21393/50000
80 k=272 r=-3148381/5000000 delta=19549/1000000000 v=-812197/1000000
81 k=272 r=5784119/10000000 delta=19649/1000000000 v=-676391/1000000
82 k=273 r=502207/2500000 delta=19641/1000000000 v=694169/1000000
83 k=274 r=-1911073/10000000 delta=19569/1000000000 v=360889/500000
84 k=275 r=-5972231/10000000 delta=39027/1000000000 v=-364923/500000
85 k=275 r=1384193/2500000 delta=4869/250000000 v=-600329/1000000
86 k=276 r=1203169/10000000 delta=19583/1000000000 v=886409/1000000
87 k=277 r=-3261819/10000000 delta=1959/100000000 v=262941/1000000
88 k=277 r=7852591/10000000 delta=19613/1000000000 v=-1
89 k=278 r=195837/625000 delta=19497/1000000000 v=62427/200000
90 k=279 r=-1708537/10000000 delta=3901/200000000 v=775421/1000000
91 k=280 r=-6670521/10000000 delta=9753/250000000 v=-890031/1000000
92 k=280 r=197899/500000 delta=2439/125000000 v=-2479/200000
93 k=281 r=-1236383/10000000 delta=19519/1000000000 v=880181/1000000
94 k=282 r=-6543167/10000000 delta=9763/500000000 v=-432831/500000
95 k=282 r=149917/400000 delta=19477/1000000000 v=14313/200000
96 k=283 r=-1776699/10000000 delta=1947/100000000 v=757919/1000000
97 k=284 r=-7406839/10000000 delta=19541/1000000000 v=-61503/62500
98 k=284 r=2567607/10000000 delta=9731/500000000 v=64669/125000
99 k=285 r=-3267147/10000000 delta=4887/250000000 v=65221/250000
