Mn=747 den=2 sgn=-1 N=900 eps=10000 J=92 psi=84049/100000 u900=496179/500000 d900=4713/250000000 r900=3617713/10000000 k900=404
1 k=0 r=-84049/400000 delta=1/1000000000 v=333549/500000
2 k=41 r=17163/156250 delta=18807/1000000000 v=905019/1000000
3 k=65 r=2710351/10000000 delta=3737/200000000 v=467673/1000000
4 k=82 r=537267/1250000 delta=18813/1000000000 v=-147913/1000000
5 k=96 r=-7253013/10000000 delta=2339/125000000 v=-485623/500000
6 k=106 r=1182011/2000000 delta=1869/100000000 v=-35631/50000
7 k=116 r=-3615681/5000000 delta=18869/1000000000 v=-242287/250000
8 k=123 r=93723/125000 delta=9409/500000000 v=-98987/100000
9 k=130 r=3760987/5000000 delta=3757/200000000 v=-198239/200000
10 k=137 r=-2026701/5000000 delta=3757/200000000 v=-50543/1000000
11 k=142 r=6402681/10000000 delta=18821/1000000000 v=-836177/1000000
12 k=148 r=-1649551/2500000 delta=4691/250000000 v=-109559/125000
13 k=152 r=2654907/5000000 delta=18743/1000000000 v=-65669/125000
14 k=157 r=-2015829/5000000 delta=9437/500000000 v=-8371/200000
15 k=161 r=-244139/1000000 delta=18757/1000000000 v=559879/1000000
16 k=165 r=-5010419/10000000 delta=18717/1000000000 v=-419933/1000000
17 k=168 r=559239/1250000 delta=9429/500000000 v=-54257/250000
18 k=172 r=-2493143/5000000 delta=18867/1000000000 v=-411153/1000000
19 k=175 r=-1624927/10000000 delta=2351/125000000 v=796101/1000000
20 k=178 r=-426849/5000000 delta=18779/1000000000 v=47113/50000
21 k=181 r=-2419739/10000000 delta=293/15625000 v=283517/500000
22 k=184 r=-6105579/10000000 delta=1883/100000000 v=-382627/500000
23 k=186 r=3985363/10000000 delta=4679/250000000 v=-23347/1000000
24 k=189 r=-6797/20000 delta=9379/500000000 v=8393/40000
25 k=191 r=825779/2500000 delta=18773/1000000000 v=30871/125000
26 k=194 r=-1439689/2000000 delta=4711/250000000 v=-482909/500000
27 k=196 r=-3374367/10000000 delta=2343/125000000 v=109627/500000
28 k=198 r=-831953/10000000 delta=18873/1000000000 v=945137/1000000
29 k=200 r=518621/10000000 delta=147/7812500 v=3058/3125
30 k=202 r=37911/500000 delta=18851/1000000000 v=23859/25000
31 k=204 r=-40137/10000000 delta=18687/1000000000 v=999871/1000000
32 k=206 r=-362143/2000000 delta=18723/1000000000 v=748973/1000000
33 k=208 r=-224683/500000 delta=4677/250000000 v=-56183/250000
34 k=209 r=479601/625000 delta=4713/250000000 v=-997399/1000000
35 k=211 r=3324767/10000000 delta=18737/1000000000 v=238567/1000000
36 k=213 r=-893291/5000000 delta=2359/125000000 v=377667/500000
37 k=215 r=-1904673/2500000 delta=9379/500000000 v=-497787/500000
38 k=216 r=1574777/10000000 delta=9401/500000000 v=10101/12500
39 k=218 r=-5586527/10000000 delta=9393/500000000 v=-308063/500000
40 k=219 r=1173003/5000000 delta=9387/500000000 v=591077/1000000
41 k=221 r=-3006603/5000000 delta=3773/200000000 v=-740951/1000000
42 k=222 r=155993/2000000 delta=9379/500000000 v=475863/500000
43 k=223 r=3521803/5000000 delta=47/2500000 v=-473961/500000
44 k=225 r=-23247/80000 delta=4709/250000000 v=6206/15625
45 k=226 r=2370139/10000000 delta=18729/1000000000 v=18227/31250
46 k=227 r=3592487/5000000 delta=18781/1000000000 v=-964407/1000000
47 k=229 r=-829889/2000000 delta=9373/500000000 v=-2777/31250
48 k=230 r=-49699/2500000 delta=18753/1000000000 v=24921/25000
49 k=231 r=3346419/10000000 delta=943/50000000 v=230147/1000000
50 k=232 r=325141/500000 delta=18767/1000000000 v=-85747/100000
51 k=234 r=-6422429/10000000 delta=9341/500000000 v=-210121/250000
52 k=235 r=-3998741/10000000 delta=18839/1000000000 v=-3587/125000
53 k=236 r=-30007/156250 delta=18707/1000000000 v=719177/1000000
54 k=237 r=-174663/10000000 delta=3/160000 v=24939/25000
55 k=238 r=625423/5000000 delta=18693/1000000000 v=43871/50000
56 k=239 r=2367657/10000000 delta=1171/62500000 v=58407/100000
57 k=240 r=637339/2000000 delta=4707/250000000 v=29181/100000
58 k=241 r=148733/400000 delta=18821/1000000000 v=83369/1000000
59 k=242 r=1986129/5000000 delta=9357/500000000 v=-9053/500000
60 k=243 r=989481/2500000 delta=18857/1000000000 v=-12373/1000000
61 k=244 r=736839/2000000 delta=187/10000000 v=48483/500000
62 k=245 r=1579737/5000000 delta=1881/100000000 v=302207/1000000
63 k=246 r=597971/2500000 delta=9359/500000000 v=36011/62500
64 k=247 r=43403/312500 delta=751/40000000 v=424803/500000
65 k=248 r=157979/10000000 delta=18771/1000000000 v=249501/250000
66 k=249 r=-323489/2500000 delta=9357/500000000 v=434509/500000
67 k=250 r=-74007/250000 delta=2337/125000000 v=2357/6250
68 k=251 r=-1208661/2500000 delta=18799/1000000000 v=-177569/500000
69 k=252 r=-6910977/10000000 delta=18861/1000000000 v=-929699/1000000
70 k=252 r=6524471/10000000 delta=9371/500000000 v=-430947/500000
71 k=253 r=2030689/5000000 delta=3747/200000000 v=-53729/1000000
72 k=254 r=1413123/10000000 delta=151/8000000 v=168891/200000
73 k=255 r=-1415347/10000000 delta=18721/1000000000 v=421989/500000
74 k=256 r=-4419081/10000000 delta=18739/1000000000 v=-195567/1000000
75 k=257 r=-303729/400000 delta=4689/250000000 v=-198913/200000
76 k=257 r=4774481/10000000 delta=18797/1000000000 v=-16627/50000
77 k=258 r=1272591/10000000 delta=9377/500000000 v=174643/200000
78 k=259 r=-2386823/10000000 delta=2349/125000000 v=57783/100000
79 k=260 r=-1239949/2000000 delta=3757/200000000 v=-98619/125000
80 k=260 r=554571/1000000 delta=1173/62500000 v=-37699/62500
81 k=261 r=179657/1250000 delta=749/40000000 v=167849/200000
82 k=262 r=-1406751/5000000 delta=1887/100000000 v=86163/200000
83 k=263 r=-1800777/2500000 delta=18863/1000000000 v=-9663/10000
84 k=263 r=3979623/10000000 delta=1877/50000000 v=-21051/1000000
85 k=264 r=-677923/10000000 delta=18697/1000000000 v=481729/500000
86 k=265 r=-2732373/5000000 delta=4701/250000000 v=-288521/500000
87 k=265 r=1332561/2500000 delta=18699/1000000000 v=-8317/15625
88 k=266 r=293829/10000000 delta=9421/500000000 v=993101/1000000
89 k=267 r=-2431613/5000000 delta=3757/200000000 v=-182901/500000
90 k=267 r=5569843/10000000 delta=3747/200000000 v=-76357/125000
91 k=268 r=179677/10000000 delta=37477/1000000000 v=498709/500000
92 k=269 r=-2661643/5000000 delta=1887/100000000 v=-52993/100000
93 k=269 r=74553/156250 delta=941/50000000 v=-2651/8000
94 k=270 r=-189967/2000000 delta=18863/1000000000 v=928689/1000000
95 k=271 r=-3388381/5000000 delta=9353/500000000 v=-181719/200000
96 k=271 r=1500407/5000000 delta=2357/125000000 v=181027/500000
97 k=272 r=-757721/2500000 delta=4701/250000000 v=10963/31250
98 k=272 r=6546123/10000000 delta=9427/500000000 v=-866253/1000000
99 k=273 r=317963/10000000 delta=9381/500000000 v=991923/1000000
100 k=274 r=-6005533/10000000 delta=9367/500000000 v=-738887/1000000
101 k=274 r=3285653/10000000 delta=9367/500000000 v=253731/1000000
102 k=275 r=-128909/400000 delta=18677/1000000000 v=55599/200000
103 k=275 r=5887033/10000000 delta=18827/1000000000 v=-706129/1000000
104 k=276 r=-799131/10000000 delta=1877/100000000 v=189869/200000
105 k=277 r=-7571573/10000000 delta=471/25000000 v=-496813/500000
106 k=277 r=1279163/10000000 delta=1879/100000000 v=87193/100000
107 k=278 r=-226443/400000 delta=4689/250000000 v=-127867/200000
108 k=278 r=3025041/10000000 delta=4689/250000000 v=88251/250000
109 k=279 r=-2038461/5000000 delta=4687/250000000 v=-59937/1000000
110 k=279 r=89011/200000 delta=9349/500000000 v=-25987/125000
111 k=280 r=-2807069/10000000 delta=2339/125000000 v=27071/62500
112 k=280 r=5567361/10000000 delta=18741/1000000000 v=-610069/1000000
113 k=281 r=-920249/5000000 delta=18819/1000000000 v=370513/500000
114 k=281 r=6386399/10000000 delta=9417/500000000 v=-208147/250000
115 k=282 r=-1166471/10000000 delta=4719/250000000 v=223277/250000
116 k=282 r=432371/625000 delta=18677/1000000000 v=-930721/1000000
117 k=283 r=-96863/1250000 delta=18683/1000000000 v=190469/200000
118 k=283 r=3585981/5000000 delta=117/6250000 v=-481509/500000
119 k=284 r=-41017/625000 delta=4703/250000000 v=482871/500000
120 k=284 r=1789407/2500000 delta=9431/500000000 v=-961457/1000000
121 k=285 r=-80133/1000000 delta=9399/500000000 v=237267/250000
122 k=285 r=6883899/10000000 delta=3741/200000000 v=-185131/200000
123 k=286 r=-1201583/10000000 delta=4687/250000000 v=443351/500000
124 k=286 r=3179589/5000000 delta=3761/200000000 v=-826507/1000000
125 k=287 r=-1848719/10000000 delta=18741/1000000000 v=369407/500000
126 k=287 r=1397897/2500000 delta=2339/125000000 v=-617719/1000000
127 k=288 r=-683747/2500000 delta=18769/1000000000 v=458939/1000000
128 k=288 r=22943/50000 delta=18769/1000000000 v=-52313/200000
129 k=289 r=-1926367/5000000 delta=2347/125000000 v=14849/500000
130 k=289 r=3357683/10000000 delta=18777/1000000000 v=1411/6250
131 k=290 r=-5195047/10000000 delta=9367/500000000 v=-485751/1000000
132 k=290 r=476437/2500000 delta=18719/1000000000 v=2893/4000
133 k=291 r=-6755017/10000000 delta=18741/1000000000 v=-28279/31250
134 k=291 r=239377/10000000 delta=18731/500000000 v=995419/1000000
135 k=291 r=3590881/5000000 delta=18741/1000000000 v=-964067/1000000
136 k=292 r=-1635033/10000000 delta=9349/500000000 v=793649/1000000
137 k=292 r=5205713/10000000 delta=4687/250000000 v=-122369/250000
138 k=293 r=-3711367/10000000 delta=4687/250000000 v=86143/1000000
139 k=293 r=757647/2500000 delta=9399/500000000 v=350927/1000000
140 k=294 r=-1495947/2500000 delta=2339/125000000 v=-366499/500000
141 k=294 r=165521/2500000 delta=18741/1000000000 v=60321/62500
