Mn=1661 den=4 sgn=-1 N=1986 eps=10000 J=106 psi=-4521/6250 u1986=-4863/62500 d1986=5239/250000000 r1986=-194717/10000000 k1986=502
1 k=0 r=4521/25000 delta=1/1000000000 v=374793/500000
2 k=46 r=-47381/400000 delta=20857/1000000000 v=222459/250000
3 k=73 r=-4376077/10000000 delta=2619/125000000 v=-17867/100000
4 k=92 r=-4177399/10000000 delta=20941/1000000000 v=-24999/250000
5 k=106 r=1512413/2000000 delta=1047/50000000 v=-993191/1000000
6 k=119 r=-147379/200000 delta=10411/500000000 v=-981239/1000000
7 k=129 r=-4420887/10000000 delta=20803/1000000000 v=-49069/250000
8 k=138 r=-224071/312500 delta=20811/1000000000 v=-240709/250000
9 k=145 r=2573731/5000000 delta=2081/100000000 v=-469027/1000000
10 k=152 r=35696/78125 delta=4177/200000000 v=-31753/125000
11 k=159 r=-6442753/10000000 delta=20843/1000000000 v=-844861/1000000
12 k=164 r=267307/500000 delta=20799/1000000000 v=-26883/50000
13 k=170 r=-362957/625000 delta=20931/1000000000 v=-136639/200000
14 k=175 r=-11584/15625 delta=20933/1000000000 v=-123067/125000
15 k=179 r=1377641/10000000 delta=20837/1000000000 v=212993/250000
16 k=183 r=2772409/5000000 delta=5197/250000000 v=-6029/10000
17 k=187 r=2824439/5000000 delta=20819/1000000000 v=-79447/125000
18 k=191 r=2154589/10000000 delta=1303/62500000 v=130209/200000
19 k=195 r=-284297/625000 delta=20877/1000000000 v=-61537/250000
20 k=198 r=315243/2000000 delta=20773/1000000000 v=807741/1000000
21 k=201 r=1275663/2500000 delta=4189/200000000 v=-226561/500000
22 k=204 r=6272337/10000000 delta=10433/500000000 v=-806459/1000000
23 k=207 r=1323743/2500000 delta=10419/500000000 v=-130073/250000
24 k=210 r=2353267/10000000 delta=20859/1000000000 v=147183/250000
25 k=213 r=-598071/2500000 delta=20881/1000000000 v=288023/500000
26 k=215 r=3453889/5000000 delta=5227/250000000 v=-929227/1000000
27 k=218 r=-1036963/10000000 delta=20961/1000000000 v=915203/1000000
28 k=220 r=530133/1000000 delta=5239/250000000 v=-261231/500000
29 k=223 r=-1348351/2500000 delta=20953/1000000000 v=-17297/31250
30 k=225 r=-201917/1250000 delta=5223/250000000 v=798417/1000000
31 k=227 r=63047/625000 delta=20797/1000000000 v=229923/250000
32 k=229 r=510389/2000000 delta=20871/1000000000 v=522703/1000000
33 k=231 r=616157/2000000 delta=20943/1000000000 v=41507/125000
34 k=233 r=531201/2000000 delta=20949/1000000000 v=19471/40000
35 k=235 r=666363/5000000 delta=20939/1000000000 v=861241/1000000
36 k=237 r=-167657/2000000 delta=419/20000000 v=944307/1000000
37 k=239 r=-59541/156250 delta=10421/500000000 v=4653/100000
38 k=241 r=-3770813/5000000 delta=20921/1000000000 v=-198441/200000
