Mn=1681 den=4 sgn=1 N=1200 eps=10000 J=107 psi=172181/500000 u1200=857607/1000000 d1200=4241/200000000 r1200=2576497/10000000 k1200=474
1 k=0 r=-172181/2000000 delta=1/1000000000 v=941291/1000000
2 k=46 r=4810509/10000000 delta=21071/1000000000 v=-346097/1000000
3 k=73 r=835909/1250000 delta=2647/125000000 v=-178613/200000
4 k=93 r=-5225987/10000000 delta=10597/500000000 v=-124133/250000
5 k=108 r=-800649/1250000 delta=10563/500000000 v=-104591/125000
6 k=120 r=-133969/400000 delta=4203/200000000 v=45811/200000
7 k=130 r=762861/5000000 delta=2121/100000000 v=819483/1000000
8 k=139 r=445479/10000000 delta=1319/62500000 v=492083/500000
9 k=147 r=-1472463/10000000 delta=5299/250000000 v=166301/200000
10 k=154 r=-73383/1000000 delta=21057/1000000000 v=239307/250000
11 k=160 r=5153669/10000000 delta=10539/500000000 v=-235609/500000
12 k=166 r=1161121/5000000 delta=21143/1000000000 v=299359/500000
13 k=172 r=-1957669/2500000 delta=21111/1000000000 v=-999957/1000000
14 k=176 r=1799297/2500000 delta=659/31250000 v=-120711/125000
15 k=181 r=1143037/10000000 delta=21177/1000000000 v=448643/500000
16 k=185 r=3058473/5000000 delta=4211/200000000 v=-768173/1000000
17 k=189 r=6978813/10000000 delta=4219/200000000 v=-18787/20000
18 k=193 r=1049751/2500000 delta=10533/500000000 v=-108591/1000000
19 k=197 r=-1828497/10000000 delta=21037/1000000000 v=744241/1000000
20 k=200 r=4937637/10000000 delta=21187/1000000000 v=-393337/1000000
21 k=204 r=-6634013/10000000 delta=10581/500000000 v=-441639/500000
22 k=207 r=-4882827/10000000 delta=5297/250000000 v=-373087/1000000
23 k=210 r=-1060909/2000000 delta=21069/1000000000 v=-261779/500000
24 k=213 r=-1542851/2000000 delta=21047/1000000000 v=-998439/1000000
25 k=215 r=117451/312500 delta=21133/1000000000 v=16843/250000
26 k=218 r=-215921/1000000 delta=10593/500000000 v=649641/1000000
27 k=220 r=6075767/10000000 delta=21181/1000000000 v=-757523/1000000
28 k=223 r=-709827/2500000 delta=10589/500000000 v=421477/1000000
29 k=225 r=1306281/5000000 delta=21061/1000000000 v=12547/25000
30 k=227 r=6814399/10000000 delta=10511/500000000 v=-45739/50000
31 k=230 r=-2929801/5000000 delta=21053/1000000000 v=-349159/500000
32 k=232 r=-3919551/10000000 delta=1321/62500000 v=93/31250
33 k=234 r=-601213/2000000 delta=21021/1000000000 v=11253/31250
34 k=236 r=-3057683/10000000 delta=21171/1000000000 v=170379/500000
35 k=238 r=-2009309/5000000 delta=10559/500000000 v=-36643/1000000
36 k=240 r=-1459373/2500000 delta=53/2500000 v=-17299/25000
37 k=241 r=7240619/10000000 delta=21157/1000000000 v=-485027/500000
38 k=243 r=384297/1000000 delta=21121/1000000000 v=16801/500000
39 k=245 r=-282447/10000000 delta=1053/50000000 v=7949/8000
40 k=247 r=-254943/500000 delta=841/40000000 v=-451769/1000000
41 k=248 r=32099/62500 delta=10591/500000000 v=-116229/250000
42 k=250 r=-481273/5000000 delta=2629/125000000 v=115849/125000
43 k=252 r=-7656741/10000000 delta=10521/500000000 v=-996889/1000000
44 k=253 r=788639/10000000 delta=2111/100000000 v=190131/200000
45 k=255 r=-3508401/5000000 delta=2637/125000000 v=-236113/250000
46 k=256 r=366817/10000000 delta=10557/500000000 v=197851/200000
47 k=257 r=725391/1000000 delta=21047/1000000000 v=-971331/1000000
48 k=259 r=-510697/2500000 delta=21111/1000000000 v=85541/125000
49 k=260 r=782459/2000000 delta=2121/100000000 v=2939/500000
50 k=262 r=-392379/625000 delta=21133/1000000000 v=-807811/1000000
51 k=263 r=-1180921/10000000 delta=10519/500000000 v=890493/1000000
52 k=264 r=3512257/10000000 delta=329/15625000 v=82567/500000
53 k=265 r=7816809/10000000 delta=21029/1000000000 v=-999889/1000000
54 k=267 r=-396073/1000000 delta=10509/500000000 v=-2699/200000
55 k=268 r=-39067/1000000 delta=21051/1000000000 v=197563/200000
56 k=269 r=2832053/10000000 delta=4219/200000000 v=424107/1000000
57 k=270 r=1429933/2500000 delta=659/31250000 v=-657199/1000000
58 k=272 r=-3711967/5000000 delta=5301/250000000 v=-985241/1000000
59 k=273 r=-2586047/5000000 delta=5279/250000000 v=-238853/500000
60 k=274 r=-1611049/5000000 delta=331/15625000 v=69559/250000
61 k=275 r=-312793/2000000 delta=10513/500000000 v=40531/50000
62 k=276 r=-2353/125000 delta=2651/125000000 v=997167/1000000
63 k=277 r=114277/1250000 delta=21213/1000000000 v=933879/1000000
64 k=278 r=1751811/10000000 delta=21047/1000000000 v=1223/1600
65 k=279 r=583237/2500000 delta=4221/200000000 v=297641/500000
66 k=280 r=1332701/5000000 delta=21137/1000000000 v=15109/31250
67 k=281 r=344579/1250000 delta=21059/1000000000 v=45123/100000
68 k=282 r=2613783/10000000 delta=21127/1000000000 v=250729/500000
69 k=283 r=560921/2500000 delta=33/1562500 v=623587/1000000
70 k=284 r=1652849/10000000 delta=21041/1000000000 v=789293/1000000
71 k=285 r=847581/10000000 delta=2103/100000000 v=943077/1000000
72 k=286 r=-83013/5000000 delta=10549/500000000 v=249449/250000
73 k=287 r=-1382403/10000000 delta=2639/125000000 v=850973/1000000
74 k=288 r=-2795983/10000000 delta=21019/1000000000 v=54641/125000
