Mn=442 den=1 sgn=-1 N=900 eps=10000 J=115 psi=-159103/200000 u900=-406657/500000 d900=22141/1000000000 r900=-5479419/10000000 k900=479
1 k=0 r=497197/2500000 delta=201/1000000000 v=699917/1000000
2 k=49 r=-443453/2500000 delta=443/20000000 v=47417/62500
3 k=77 r=805269/1250000 delta=22149/1000000000 v=-211183/250000
4 k=98 r=-1384089/2500000 delta=4421/200000000 v=-150049/250000
5 k=113 r=5417873/10000000 delta=22113/1000000000 v=-561629/1000000
6 k=126 r=334951/1250000 delta=11053/500000000 v=478507/1000000
7 k=137 r=28567/1250000 delta=4457/200000000 v=39833/40000
8 k=146 r=6409063/10000000 delta=22153/1000000000 v=-33503/40000
9 k=155 r=-4812391/10000000 delta=11107/500000000 v=-346803/1000000
10 k=162 r=827609/5000000 delta=11119/500000000 v=788711/1000000
11 k=169 r=-1491377/5000000 delta=1393/62500000 v=368779/1000000
12 k=175 r=-135367/1250000 delta=11079/500000000 v=453819/500000
13 k=181 r=-1720883/2500000 delta=22201/1000000000 v=-1157/1250
14 k=186 r=-3534009/10000000 delta=11133/500000000 v=78273/500000
15 k=191 r=-583667/1000000 delta=22273/1000000000 v=-691723/1000000
16 k=195 r=2646519/10000000 delta=11051/500000000 v=245043/500000
17 k=199 r=6804849/10000000 delta=2213/100000000 v=-91323/100000
18 k=203 r=1783257/2500000 delta=22159/1000000000 v=-191741/200000
19 k=207 r=4045431/10000000 delta=5547/250000000 v=-23679/500000
20 k=211 r=-1053663/5000000 delta=22187/1000000000 v=332639/500000
21 k=214 r=936391/2000000 delta=4453/200000000 v=-297417/1000000
22 k=218 r=-3372649/5000000 delta=5559/250000000 v=-903267/1000000
23 k=221 r=-1187487/2500000 delta=1393/62500000 v=-32327/100000
24 k=224 r=-121137/250000 delta=2221/100000000 v=-179593/500000
25 k=227 r=-343053/500000 delta=22131/1000000000 v=-11527/12500
26 k=229 r=5061887/10000000 delta=11073/500000000 v=-438527/1000000
27 k=232 r=-358971/10000000 delta=22267/1000000000 v=989709/1000000
28 k=235 r=-7296553/10000000 delta=11107/500000000 v=-195049/200000
29 k=237 r=63407/10000000 delta=111/5000000 v=499839/500000
30 k=239 r=3054319/5000000 delta=11093/500000000 v=-766041/1000000
31 k=242 r=-1195603/2500000 delta=22139/1000000000 v=-335531/1000000
32 k=244 r=-44641/400000 delta=22153/1000000000 v=902003/1000000
33 k=246 r=735333/5000000 delta=4447/200000000 v=25997/31250
34 k=248 r=608461/2000000 delta=11091/500000000 v=69307/200000
35 k=250 r=1828783/5000000 delta=5549/250000000 v=107561/1000000
36 k=252 r=842621/2500000 delta=22211/1000000000 v=220769/1000000
37 k=254 r=557613/2500000 delta=11089/500000000 v=156929/250000
38 k=256 r=282887/10000000 delta=22239/1000000000 v=198721/200000
39 k=258 r=-75941/312500 delta=11127/500000000 v=140903/250000
40 k=260 r=-586987/1000000 delta=4427/200000000 v=-175313/250000
41 k=261 r=570749/1000000 delta=887/40000000 v=-1307/2000
42 k=263 r=919411/10000000 delta=22213/1000000000 v=933133/1000000
43 k=265 r=-4495313/10000000 delta=22199/1000000000 v=-7043/31250
44 k=266 r=5200121/10000000 delta=5573/250000000 v=-121881/250000
45 k=268 r=-1383361/10000000 delta=11063/500000000 v=212693/250000
46 k=269 r=44971/62500 delta=2217/100000000 v=-482749/500000
47 k=271 r=-91221/2000000 delta=5539/250000000 v=245851/250000
48 k=272 r=7099939/10000000 delta=11077/500000000 v=-954857/1000000
49 k=274 r=-382943/2500000 delta=11117/500000000 v=818093/1000000
50 k=275 r=5084359/10000000 delta=22127/1000000000 v=-446587/1000000
51 k=277 r=-2224847/5000000 delta=2229/100000000 v=-207561/1000000
52 k=278 r=1299343/10000000 delta=22197/1000000000 v=17359/20000
53 k=279 r=165991/250000 delta=11149/500000000 v=-884331/1000000
54 k=281 r=-1030379/2500000 delta=5571/250000000 v=-19433/250000
55 k=282 r=446277/10000000 delta=11113/500000000 v=984109/1000000
56 k=283 r=1162189/2500000 delta=22133/1000000000 v=-35589/125000
57 k=285 r=-7209113/10000000 delta=4451/200000000 v=-241729/250000
58 k=286 r=-3699137/10000000 delta=5537/250000000 v=18203/200000
59 k=287 r=-129447/2500000 delta=11081/500000000 v=244657/250000
60 k=288 r=1173047/5000000 delta=11067/500000000 v=591049/1000000
61 k=289 r=4903007/10000000 delta=22227/1000000000 v=-95141/250000
62 k=290 r=7162897/10000000 delta=5571/250000000 v=-192407/200000
63 k=292 r=-1643147/2500000 delta=4421/200000000 v=-871493/1000000
64 k=293 r=-121967/250000 delta=11099/500000000 v=-92887/250000
65 k=294 r=-1727251/5000000 delta=691/31250000 v=5871/31250
66 k=295 r=-1145939/5000000 delta=2773/125000000 v=304201/500000
67 k=296 r=-691481/5000000 delta=5569/250000000 v=106357/125000
68 k=297 r=-720239/10000000 delta=11117/500000000 v=958787/1000000
69 k=298 r=-296529/10000000 delta=11131/500000000 v=496487/500000
70 k=299 r=-52489/5000000 delta=2781/125000000 v=499559/500000
71 k=300 r=-138959/10000000 delta=2781/125000000 v=124807/125000
72 k=301 r=-19603/500000 delta=22263/1000000000 v=61733/62500
73 k=302 r=-858427/10000000 delta=2217/100000000 v=7533/8000
74 k=303 r=-766101/5000000 delta=22277/1000000000 v=408997/500000
75 k=304 r=-60191/250000 delta=2773/125000000 v=285507/500000
76 k=305 r=-3479657/10000000 delta=22291/1000000000 v=8899/50000
77 k=306 r=-94859/200000 delta=11099/500000000 v=-16031/50000
78 k=307 r=-6192657/10000000 delta=22297/1000000000 v=-787207/1000000
79 k=308 r=-312961/400000 delta=2219/100000000 v=-124991/125000
80 k=308 r=6075549/10000000 delta=2219/100000000 v=-378733/500000
81 k=309 r=255903/625000 delta=22283/1000000000 v=-66933/1000000
82 k=310 r=972473/5000000 delta=22227/1000000000 v=356167/500000
83 k=311 r=-368871/10000000 delta=22269/1000000000 v=494567/500000
84 k=312 r=-710797/2500000 delta=22121/500000000 v=420069/1000000
85 k=313 r=-1368521/2500000 delta=22149/1000000000 v=-72511/125000
86 k=313 r=1862499/2500000 delta=22149/1000000000 v=-246743/250000
87 k=314 r=4516827/10000000 delta=22147/1000000000 v=-29219/125000
88 k=315 r=1437577/10000000 delta=139/6250000 v=104897/125000
89 k=316 r=-892219/5000000 delta=2227/100000000 v=94487/125000
90 k=317 r=-1029181/2000000 delta=22177/1000000000 v=-468477/1000000
91 k=317 r=7064179/10000000 delta=22113/500000000 v=-950511/1000000
92 k=318 r=214551/625000 delta=11059/500000000 v=39277/200000
93 k=319 r=-329103/10000000 delta=22211/1000000000 v=247837/250000
94 k=320 r=-4218759/10000000 delta=22299/1000000000 v=-116443/1000000
95 k=320 r=7474461/10000000 delta=2763/125000000 v=-988499/1000000
96 k=321 r=834321/2500000 delta=22197/1000000000 v=233701/1000000
97 k=322 r=-183957/2000000 delta=22113/1000000000 v=23327/25000
98 k=323 r=-1323579/2500000 delta=11091/500000000 v=-130017/250000
99 k=323 r=2962043/5000000 delta=11091/500000000 v=-358273/500000
100 k=324 r=165213/1250000 delta=891/40000000 v=863473/1000000
101 k=325 r=-3391067/10000000 delta=2771/125000000 v=212731/1000000
102 k=325 r=299829/400000 delta=4447/200000000 v=-3959/4000
103 k=326 r=642063/2500000 delta=11071/500000000 v=517131/1000000
104 k=327 r=-153957/625000 delta=11077/500000000 v=34537/62500
105 k=328 r=-3798489/5000000 delta=22247/1000000000 v=-994721/1000000
106 k=328 r=1438493/5000000 delta=5539/250000000 v=203881/500000
107 k=329 r=-153453/625000 delta=2783/125000000 v=277639/500000
108 k=329 r=244497/312500 delta=2783/125000000 v=-124991/125000
109 k=330 r=2300283/10000000 delta=2779/125000000 v=60573/100000
110 k=331 r=-3316267/10000000 delta=11139/500000000 v=241867/1000000
111 k=331 r=208871/312500 delta=177/8000000 v=-223113/250000
112 k=332 r=221553/2500000 delta=4437/200000000 v=37513/40000
113 k=333 r=-2499703/5000000 delta=5573/250000000 v=-415931/1000000
114 k=333 r=4736307/10000000 delta=5573/250000000 v=-159051/500000
115 k=334 r=-660459/5000000 delta=22199/1000000000 v=863631/1000000
116 k=335 r=-233181/312500 delta=2787/125000000 v=-24693/25000
117 k=335 r=2023307/10000000 delta=2787/125000000 v=689989/1000000
118 k=336 r=-1070083/2500000 delta=11107/500000000 v=-70433/500000
119 k=336 r=2522271/5000000 delta=11107/500000000 v=-432281/1000000
120 k=337 r=-28329/200000 delta=22121/1000000000 v=421871/500000
121 k=337 r=1938431/2500000 delta=22121/1000000000 v=-249799/250000
122 k=338 r=1140463/10000000 delta=887/40000000 v=44887/50000
123 k=339 r=-2773527/5000000 delta=5567/250000000 v=-603613/1000000
