Mn=899 den=2 sgn=1 N=1200 eps=10000 J=117 psi=-130367/250000 u1200=934029/1000000 d1200=22611/1000000000 r1200=4840153/10000000 k1200=507
1 k=0 r=130367/1000000 delta=1/1000000000 v=867089/1000000
2 k=50 r=-323149/625000 delta=22643/1000000000 v=-95421/200000
3 k=79 r=-632489/1250000 delta=22569/1000000000 v=-54727/125000
4 k=99 r=2031791/5000000 delta=22591/1000000000 v=-54609/1000000
5 k=115 r=349379/1000000 delta=5669/250000000 v=86207/500000
6 k=128 r=2087027/5000000 delta=1131/50000000 v=-12333/125000
7 k=139 r=4613307/10000000 delta=22549/1000000000 v=-271091/1000000
8 k=149 r=-482083/2000000 delta=22521/1000000000 v=285051/500000
9 k=157 r=171381/400000 delta=22479/1000000000 v=-142527/1000000
10 k=165 r=-2980319/10000000 delta=11293/500000000 v=92421/250000
11 k=172 r=-233249/400000 delta=22517/1000000000 v=-172537/250000
12 k=178 r=-287493/1250000 delta=11287/500000000 v=302919/500000
13 k=184 r=-6599739/10000000 delta=22573/1000000000 v=-27399/31250
14 k=189 r=-1860691/10000000 delta=4529/200000000 v=367789/500000
15 k=194 r=-358717/1250000 delta=22659/1000000000 v=51301/125000
16 k=198 r=6823551/10000000 delta=22573/1000000000 v=-916253/1000000
17 k=203 r=-3589371/10000000 delta=22609/1000000000 v=67319/500000
18 k=207 r=-68421/312500 delta=11319/500000000 v=640391/1000000
19 k=211 r=-4263309/10000000 delta=11333/500000000 v=-67061/500000
20 k=214 r=6253647/10000000 delta=11319/500000000 v=-25063/31250
21 k=218 r=-1750219/10000000 delta=22567/1000000000 v=382393/500000
22 k=221 r=3402741/10000000 delta=2811/125000000 v=104083/500000
23 k=224 r=6231561/10000000 delta=22643/1000000000 v=-199177/250000
24 k=227 r=3467011/5000000 delta=11261/500000000 v=-186611/200000
25 k=230 r=1136771/2000000 delta=22553/1000000000 v=-129263/200000
26 k=233 r=2634227/10000000 delta=707/31250000 v=247183/500000
27 k=236 r=-2079001/10000000 delta=703/31250000 v=336847/500000
28 k=238 r=294931/400000 delta=22593/1000000000 v=-981571/1000000
29 k=241 r=-158383/5000000 delta=5633/250000000 v=991983/1000000
30 k=243 r=3182059/5000000 delta=703/31250000 v=-413809/500000
31 k=246 r=-1956061/5000000 delta=4517/200000000 v=5947/1000000
32 k=248 r=349553/10000000 delta=22621/1000000000 v=990241/1000000
