Mn=466 den=1 sgn=-1 N=1900 eps=10000 J=123 psi=300247/1000000 u1900=-69337/100000 d1900=23381/1000000000 r1900=-478847/2500000 k1900=560
1 k=0 r=-375309/5000000 delta=201/1000000000 v=955263/1000000
2 k=51 r=2829843/5000000 delta=5867/250000000 v=-159727/250000
3 k=81 r=6787629/10000000 delta=583/25000000 v=-455201/500000
4 k=103 r=-909479/2500000 delta=23441/1000000000 v=28843/250000
5 k=119 r=999393/2000000 delta=23447/1000000000 v=-415043/1000000
6 k=133 r=-2509973/10000000 delta=23347/1000000000 v=536941/1000000
7 k=144 r=4287997/10000000 delta=4687/200000000 v=-143901/1000000
8 k=154 r=554489/2000000 delta=23307/1000000000 v=445577/1000000
9 k=163 r=-1382029/10000000 delta=1467/62500000 v=212763/250000
10 k=171 r=-4300753/10000000 delta=23329/1000000000 v=-148949/1000000
11 k=178 r=-3220113/10000000 delta=5831/250000000 v=278999/1000000
12 k=184 r=975097/2500000 delta=587/25000000 v=10641/1000000
13 k=190 r=1451177/5000000 delta=23437/1000000000 v=99619/250000
14 k=196 r=-1001921/2000000 delta=23409/1000000000 v=-419637/1000000
15 k=201 r=-3172693/10000000 delta=4669/200000000 v=148581/500000
16 k=206 r=-6525157/10000000 delta=23323/1000000000 v=-862033/1000000
17 k=210 r=1270649/10000000 delta=23309/1000000000 v=873593/1000000
18 k=214 r=1257083/2500000 delta=11669/500000000 v=-17057/40000
19 k=218 r=5184767/10000000 delta=23367/1000000000 v=-482153/1000000
20 k=222 r=263701/1250000 delta=1463/62500000 v=166149/250000
21 k=226 r=-1940831/5000000 delta=23379/1000000000 v=18131/1000000
22 k=229 r=398781/1250000 delta=23457/1000000000 v=5809/20000
23 k=232 r=3926353/5000000 delta=23467/1000000000 v=-1
24 k=236 r=-5397213/10000000 delta=2937/125000000 v=-138693/250000
25 k=239 r=-4963473/10000000 delta=23417/1000000000 v=-402817/1000000
26 k=242 r=-399703/625000 delta=2933/125000000 v=-834543/1000000
27 k=244 r=246251/400000 delta=469/20000000 v=-778149/1000000
28 k=247 r=350189/2500000 delta=729/31250000 v=423547/500000
29 k=250 r=-4841769/10000000 delta=5849/250000000 v=-1789/5000
30 k=252 r=202347/625000 delta=23411/1000000000 v=272293/1000000
31 k=255 r=-1137221/2000000 delta=23471/1000000000 v=-323501/500000
32 k=257 r=-28699/2500000 delta=733/31250000 v=499473/500000
33 k=259 r=269887/625000 delta=23361/1000000000 v=-155843/1000000
34 k=261 r=768101/1000000 delta=5857/250000000 v=-997607/1000000
35 k=264 r=-2836221/5000000 delta=11653/500000000 v=-25713/40000
36 k=266 r=-426927/1000000 delta=23311/1000000000 v=-34121/250000
37 k=268 r=-1882681/5000000 delta=23477/1000000000 v=32303/500000
38 k=270 r=-822567/2000000 delta=1167/50000000 v=-74269/1000000
39 k=272 r=-658413/1250000 delta=11677/500000000 v=-510809/1000000
40 k=274 r=-3593997/5000000 delta=11717/500000000 v=-482363/500000
41 k=275 r=2935461/5000000 delta=23327/1000000000 v=-43847/62500
42 k=277 r=25287/100000 delta=2349/100000000 v=530607/1000000
43 k=279 r=-294839/2000000 delta=11749/500000000 v=10389/12500
44 k=281 r=-3053677/5000000 delta=5871/250000000 v=-765711/1000000
45 k=282 r=873099/2000000 delta=23377/1000000000 v=-21813/125000
46 k=284 r=-1445013/10000000 delta=11681/500000000 v=418777/500000
47 k=286 r=-78061/100000 delta=5837/250000000 v=-999817/1000000
48 k=287 r=253287/2500000 delta=11681/500000000 v=919/1000
49 k=289 r=-6381411/10000000 delta=23427/1000000000 v=-831481/1000000
50 k=290 r=180861/1250000 delta=23319/1000000000 v=104643/125000
51 k=292 r=-6899009/10000000 delta=11749/500000000 v=-37117/40000
52 k=293 r=7557/5000000 delta=4681/200000000 v=499991/500000
53 k=294 r=6498303/10000000 delta=23491/1000000000 v=-856539/1000000
54 k=296 r=-3141327/10000000 delta=5869/250000000 v=154559/500000
55 k=297 r=631853/2500000 delta=11717/500000000 v=531043/1000000
56 k=298 r=7811001/10000000 delta=23341/1000000000 v=-249963/250000
57 k=300 r=-746223/2500000 delta=2931/125000000 v=22999/62500
58 k=301 r=98037/625000 delta=1167/50000000 v=161907/200000
59 k=302 r=1155121/2000000 delta=2337/100000000 v=-336939/500000
60 k=304 r=-121201/200000 delta=2923/125000000 v=-188351/250000
61 k=305 r=-2511379/10000000 delta=1457/62500000 v=536467/1000000
62 k=306 r=36207/500000 delta=4681/200000000 v=479171/500000
63 k=307 r=3656643/10000000 delta=11653/500000000 v=13491/125000
64 k=308 r=6295449/10000000 delta=2339/100000000 v=-811891/1000000
65 k=310 r=-1764521/2500000 delta=23427/1000000000 v=-3799/4000
66 k=311 r=-497941/1000000 delta=11667/500000000 v=-102161/250000
67 k=312 r=-158411/500000 delta=23361/1000000000 v=29887/100000
68 k=313 r=-101037/625000 delta=11727/500000000 v=159623/200000
69 k=314 r=-316953/10000000 delta=23347/1000000000 v=495987/500000
70 k=315 r=737919/10000000 delta=293/12500000 v=956753/1000000
71 k=316 r=311003/2000000 delta=23333/1000000000 v=812711/1000000
72 k=317 r=2141091/10000000 delta=11713/500000000 v=327567/500000
73 k=318 r=2502323/10000000 delta=4697/200000000 v=1686/3125
74 k=319 r=2644883/10000000 delta=23411/1000000000 v=490657/1000000
75 k=320 r=160927/625000 delta=23499/1000000000 v=128719/250000
76 k=321 r=1148763/5000000 delta=23397/1000000000 v=606607/1000000
77 k=322 r=1818559/10000000 delta=2349/100000000 v=74689/100000
78 k=323 r=1143057/10000000 delta=11691/500000000 v=448641/500000
79 k=324 r=276029/10000000 delta=729/31250000 v=993911/1000000
80 k=325 r=-24301/312500 delta=4687/200000000 v=238003/250000
81 k=326 r=-2013383/10000000 delta=11671/500000000 v=692857/1000000
82 k=327 r=-85667/250000 delta=11677/500000000 v=198791/1000000
83 k=328 r=-1253303/2500000 delta=5839/250000000 v=-210473/500000
84 k=329 r=-6768961/10000000 delta=46739/1000000000 v=-113411/125000
85 k=329 r=3509087/5000000 delta=2933/125000000 v=-944633/1000000
86 k=330 r=98721/200000 delta=2929/125000000 v=-392753/1000000
87 k=331 r=337067/1250000 delta=11739/500000000 v=9451/20000
88 k=332 r=9469/312500 delta=4677/200000000 v=124083/125000
89 k=333 r=-1120519/5000000 delta=23311/1000000000 v=312207/500000
90 k=334 r=-4932107/10000000 delta=5851/250000000 v=-195651/500000
91 k=335 r=-1553399/2000000 delta=5837/125000000 v=-199879/200000
92 k=335 r=1241337/2500000 delta=2937/125000000 v=-25219/62500
93 k=336 r=463021/2500000 delta=11707/500000000 v=368953/500000
94 k=337 r=-279171/2000000 delta=23321/1000000000 v=169627/200000
95 k=338 r=-596959/1250000 delta=187/8000000 v=-33299/100000
96 k=338 r=7423393/10000000 delta=5857/250000000 v=-246301/250000
97 k=339 r=3788091/10000000 delta=5867/250000000 v=55531/1000000
98 k=340 r=28951/10000000 delta=23443/1000000000 v=999933/1000000
99 k=341 r=-3851467/10000000 delta=23453/1000000000 v=6041/200000
100 k=342 r=-785083/1000000 delta=23457/1000000000 v=-999999/1000000
101 k=342 r=1870693/5000000 delta=23457/1000000000 v=37087/500000
102 k=343 r=-61081/1250000 delta=5841/250000000 v=980959/1000000
103 k=344 r=-966151/2000000 delta=5833/250000000 v=-353683/1000000
104 k=344 r=6425359/10000000 delta=23471/1000000000 v=-420559/500000
105 k=345 r=1865863/10000000 delta=11689/500000000 v=29367/40000
106 k=346 r=-559883/2000000 delta=23317/1000000000 v=435893/1000000
107 k=347 r=-7568261/10000000 delta=23393/1000000000 v=-248369/250000
108 k=347 r=653807/2000000 delta=23393/1000000000 v=52031/200000
109 k=348 r=-1701589/10000000 delta=47/2000000 v=777173/1000000
110 k=349 r=-677019/1000000 delta=23407/1000000000 v=-453747/500000
111 k=349 r=3772943/10000000 delta=5849/250000000 v=3079/50000
112 k=350 r=-1486601/10000000 delta=11657/500000000 v=16567/20000
113 k=351 r=-6838879/10000000 delta=11711/500000000 v=-229673/250000
114 k=351 r=342547/1000000 delta=11711/500000000 v=39853/200000
115 k=352 r=-2107733/10000000 delta=23329/1000000000 v=166289/250000
116 k=353 r=-3864563/5000000 delta=5859/250000000 v=-998753/1000000
117 k=353 r=2271001/10000000 delta=5859/250000000 v=19219/31250
118 k=354 r=-3521997/10000000 delta=23343/1000000000 v=16129/100000
119 k=354 r=1261841/2000000 delta=23343/1000000000 v=-815091/1000000
