Mn=4515 den=8 sgn=1 N=4000 eps=25000 tight8=all rprec=8 J=157 psi=103853/500000 u4000=-2807/12500 d4000=84777/10000000000 r4000=-2831143/50000000 k4000=745
1 k=0 r=-103853/2000000 delta=1/10000000000 v=1957013/2000000
2 k=62 r=35743687/100000000 delta=28313/10000000000 v=175727/1250000
3 k=99 r=-55343577/100000000 delta=28381/10000000000 v=-1498891/2500000
4 k=124 r=38339977/50000000 delta=14127/5000000000 v=-498617/500000
5 k=145 r=-73576307/100000000 delta=28391/10000000000 v=-1960711/2000000
6 k=161 r=-1440731/10000000 delta=5651/2000000000 v=8384887/10000000
7 k=175 r=-38552417/100000000 delta=283/100000000 v=286957/10000000
8 k=187 r=-9865853/25000000 delta=7063/2500000000 v=-77401/10000000
9 k=197 r=128963/250000 delta=28233/10000000000 v=-2364643/5000000
10 k=207 r=-816001/2500000 delta=5653/2000000000 v=655243/2500000
11 k=215 r=5548997/10000000 delta=227/80000000 v=-3021163/5000000
12 k=223 r=26528957/100000000 delta=84749/10000000000 v=4878613/10000000
13 k=230 r=56324139/100000000 delta=7097/2500000000 v=-6304783/10000000
14 k=237 r=47677/2000000 delta=28267/10000000000 v=9954573/10000000
15 k=243 r=3335247/10000000 delta=28243/10000000000 v=468987/2000000
16 k=249 r=294571/20000000 delta=28379/10000000000 v=9982651/10000000
17 k=254 r=71450189/100000000 delta=7057/2500000000 v=-1920117/2000000
18 k=260 r=-32279083/50000000 delta=5647/2000000000 v=-264889/312500
19 k=264 r=34988993/50000000 delta=14209/5000000000 v=-941927/1000000
20 k=269 r=8296227/100000000 delta=14151/5000000000 v=1890883/2000000
21 k=273 r=1709409/2500000 delta=28289/10000000000 v=-1148119/1250000
22 k=278 r=-15163349/25000000 delta=28373/10000000000 v=-7547937/10000000
23 k=282 r=-1930793/3125000 delta=707/250000000 v=-3918557/5000000
24 k=285 r=13493073/20000000 delta=28401/10000000000 v=-1129349/1250000
25 k=289 r=15119599/100000000 delta=14113/5000000000 v=6581/8000
26 k=293 r=-59819227/100000000 delta=2839/1000000000 v=-7324903/10000000
27 k=296 r=179293/12500000 delta=7057/2500000000 v=4991773/5000000
28 k=299 r=21660129/50000000 delta=7089/2500000000 v=-806531/5000000
29 k=302 r=16799453/25000000 delta=21199/2500000000 v=-8988403/10000000
30 k=305 r=74288737/100000000 delta=7081/2500000000 v=-394231/400000
31 k=308 r=13138741/20000000 delta=14163/5000000000 v=-8708613/10000000
32 k=311 r=42409121/100000000 delta=5667/2000000000 v=-313097/2500000
