Mn=1173 den=2 sgn=1 N=3990 eps=10000 J=165 psi=-4317/50000 u3990=-1068581/10000000 d3990=88121/10000000000 r3990=-669141/25000000 k3990=774
1 k=0 r=4317/200000 delta=1/10000000000 v=39851/40000
2 k=65 r=-44747537/100000000 delta=36671/1250000000 v=-2173563/10000000
3 k=103 r=-1372831/2000000 delta=73349/2500000000 v=-461319/500000
4 k=129 r=65426791/100000000 delta=14667/500000000 v=-8655639/10000000
5 k=150 r=1929877/5000000 delta=293271/10000000000 v=53783/2000000
6 k=167 r=20766389/50000000 delta=4583/156250000 v=-112989/1250000
7 k=182 r=-54427073/100000000 delta=36671/1250000000 v=-2849099/5000000
8 k=194 r=18521487/100000000 delta=293273/10000000000 v=7378887/10000000
9 k=205 r=3527753/20000000 delta=293283/10000000000 v=3806273/5000000
10 k=215 r=-830923/10000000 delta=146719/5000000000 v=118159/125000
11 k=224 r=-24540117/100000000 delta=73321/2500000000 v=5556891/10000000
12 k=232 r=-2686263/50000000 delta=146629/5000000000 v=390799/400000
13 k=239 r=34348067/50000000 delta=293261/10000000000 v=-9234779/10000000
14 k=246 r=11149451/20000000 delta=14667/500000000 v=-765501/1250000
15 k=253 r=-32201777/100000000 delta=146683/5000000000 v=2789737/10000000
16 k=259 r=-28383817/100000000 delta=293297/10000000000 v=4218127/10000000
17 k=264 r=75126217/100000000 delta=36657/1250000000 v=-9906923/10000000
18 k=270 r=-29266539/100000000 delta=146643/5000000000 v=155817/400000
19 k=275 r=-10952191/50000000 delta=58689/2000000000 v=6400943/10000000
20 k=280 r=-11042907/20000000 delta=293399/10000000000 v=-2977087/5000000
21 k=284 r=15926621/50000000 delta=293311/10000000000 v=2923341/10000000
22 k=289 r=-71445421/100000000 delta=293351/10000000000 v=-9600051/10000000
23 k=293 r=-23994717/50000000 delta=146719/5000000000 v=-136701/400000
24 k=297 r=-5227783/10000000 delta=11733/400000000 v=-4971551/10000000
25 k=300 r=75035847/100000000 delta=14667/500000000 v=-4950969/5000000
26 k=304 r=2179083/10000000 delta=293327/10000000000 v=3217887/5000000
27 k=308 r=-6645069/12500000 delta=58663/2000000000 v=-21099/40000
28 k=311 r=8841951/100000000 delta=293273/10000000000 v=2345263/2500000
29 k=314 r=52129239/100000000 delta=146679/5000000000 v=-4919893/10000000
30 k=317 r=15594217/20000000 delta=293261/10000000000 v=-2499353/2500000
31 k=321 r=-69565537/100000000 delta=58651/2000000000 v=-2340647/2500000
32 k=324 r=-75289121/100000000 delta=293363/10000000000 v=-9915583/10000000
33 k=326 r=30870099/50000000 delta=73349/2500000000 v=-1956469/2500000
34 k=329 r=28220913/100000000 delta=146661/5000000000 v=2138559/5000000
35 k=332 r=-8994383/50000000 delta=146719/5000000000 v=376051/500000
36 k=335 r=-76171843/100000000 delta=293353/10000000000 v=-398207/400000
37 k=337 r=11406729/100000000 delta=293297/10000000000 v=4488513/5000000
38 k=340 r=-68809687/100000000 delta=293391/10000000000 v=-925211/1000000
39 k=342 r=-2103183/100000000 delta=73339/2500000000 v=4982317/5000000
40 k=344 r=27479897/50000000 delta=293299/10000000000 v=-5872001/10000000
41 k=347 r=-54223857/100000000 delta=73347/2500000000 v=-1407803/2500000
42 k=349 r=-7526031/50000000 delta=146629/5000000000 v=412079/500000
43 k=351 r=15804629/100000000 delta=146651/5000000000 v=4033691/5000000
44 k=353 r=38728907/100000000 delta=146679/5000000000 v=3381/156250
45 k=355 r=3379817/6250000 delta=293289/10000000000 v=-1395649/2500000
46 k=357 r=15545857/25000000 delta=293333/10000000000 v=-1983753/2500000
47 k=359 r=31680143/50000000 delta=293327/10000000000 v=-2053149/2500000
48 k=361 r=28948249/50000000 delta=293383/10000000000 v=-3390093/5000000
49 k=363 r=46066253/100000000 delta=293263/10000000000 v=-335647/1250000
50 k=365 r=28130543/100000000 delta=293407/10000000000 v=861953/2000000
51 k=367 r=43269/1000000 delta=293351/10000000000 v=9850597/10000000
52 k=369 r=-12557237/50000000 delta=146697/5000000000 v=1341109/2500000
53 k=371 r=-59979507/100000000 delta=146669/5000000000 v=-3684199/5000000
54 k=372 r=3563361/6250000 delta=293393/10000000000 v=-6516477/10000000
55 k=374 r=1189819/10000000 delta=293353/10000000000 v=8888681/10000000
56 k=376 r=-38064819/100000000 delta=293397/10000000000 v=481849/10000000
57 k=377 r=64375933/100000000 delta=293269/10000000000 v=-2109387/2500000
58 k=379 r=1044787/20000000 delta=293291/10000000000 v=9782477/10000000
59 k=381 r=-5828869/10000000 delta=73339/2500000000 v=-3447329/5000000
60 k=382 r=31065781/100000000 delta=18333/625000000 v=1611533/5000000
61 k=384 r=-40732623/100000000 delta=293371/10000000000 v=-36547/625000
62 k=385 r=1624293/4000000 delta=3667/125000000 v=-66839/1250000
63 k=387 r=-1557843/4000000 delta=146643/5000000000 v=12953/1000000
64 k=388 r=34883741/100000000 delta=146629/5000000000 v=43637/250000
65 k=390 r=-6493149/12500000 delta=293301/10000000000 v=-4855667/10000000
66 k=391 r=7417447/50000000 delta=293329/10000000000 v=4145233/5000000
67 k=392 r=7824847/10000000 delta=146679/5000000000 v=-9999321/10000000
68 k=394 r=-18684391/100000000 delta=293389/10000000000 v=229211/312500
69 k=395 r=38290881/100000000 delta=293261/10000000000 v=391511/10000000
70 k=397 r=-64894071/100000000 delta=293399/10000000000 v=-1068371/1250000
71 k=398 r=-6996003/50000000 delta=293327/10000000000 v=8474249/10000000
72 k=399 r=6800497/20000000 delta=58671/2000000000 v=418283/2000000
73 k=401 r=-77912519/100000000 delta=293311/10000000000 v=-2499213/2500000
74 k=402 r=-17750021/50000000 delta=917/31250000 v=751119/5000000
75 k=403 r=423653/10000000 delta=58687/2000000000 v=4928379/5000000
76 k=404 r=20682321/50000000 delta=293307/10000000000 v=-836913/10000000
