# att535 ATTACKS 3/20: sign map of S_x(0) over x in [0,100] step 2
#   also the renormalised ratios S_x(0)/Xi(x)^2 and S_x(0)/(L1(x)/32),
#   the latter comparing the falsified pointwise value against the
#   unconditionally nonnegative integral I4.
#      x     Xi(x)             S_x(0)              S/Xi^2        S/(L1/32)   sign
      0.0  0.49712078        0.003763766022      0.01523       10.5466     +
      2.0  0.45309986        0.003159602846      0.0153902     10.4505     +
      4.0  0.34178661        0.001859762049      0.0159202     10.1504     +
      6.0  0.21069238        0.0007552402914     0.0170133     9.60781     +
      8.0  0.10330273        0.0002053531444     0.0192432     8.74802     +
     10.0  0.03796785        3.568453013e-5      0.0247541     7.45671     +
     12.0  0.0088236507      3.790486852e-6      0.0486854     5.68922     +
     14.0  0.00020129444     2.875750811e-7      7.09721       4.11728     +
     16.0  -0.00076869717    3.032496711e-8      0.0513204     4.32117     +
     18.0  -0.00029858067    3.220917458e-9      0.036129      4.78963     +
     20.0  -3.6655428e-5     1.595038273e-10     0.118712      3.52771     +
     22.0  7.7163148e-6      4.983187485e-12     0.0836927     2.17311     +
     24.0  2.1167309e-6      3.992466519e-13     0.0891066     2.41691     +
     26.0  -6.4737853e-7     4.577237311e-14     0.109216      2.94256     +
     28.0  -3.0173098e-7     4.204492529e-15     0.0461821     3.67052     +
     30.0  -1.5016622e-8     8.598482271e-17     0.381309      2.11161     +
     32.0  5.0824356e-9      7.872078203e-19     0.0304751     0.584359    +
     34.0  -2.2753761e-9     4.975510776e-19     0.0961017     2.71514     +
     36.0  -8.2796926e-10    4.282617848e-20     0.0624714     3.03812     +
     38.0  5.3518365e-11     1.093793196e-21     0.381882      1.99843     +
     40.0  2.1176217e-11     5.53350405e-23      0.123397      2.5397      +
     42.0  -4.0383107e-12    8.861293822e-25     0.0543373     1.091       +
     44.0  1.1552159e-12     2.314547307e-25     0.173436      2.21359     +
     46.0  6.5485898e-13     2.426913005e-26     0.0565925     3.02041     +
     48.0  3.3649443e-16     9.932384101e-29     877.198       0.74474     +
     50.0  3.1621951e-15     1.234962588e-29     1.23503       1.97126     +
     52.0  3.7406092e-15     1.307034055e-30     0.0934119     2.00989     +
     54.0  -1.0590666e-15    1.002038362e-31     0.0893383     2.15413     +
     56.0  -1.097859e-16     3.857281864e-33     0.320028      1.90151     +
     58.0  3.9505419e-17     1.331573357e-34     0.0853202     2.18458     +
     60.0  -2.9092748e-18    -6.102853678e-37    -0.0721047    -0.571873   NEG <<<
     62.0  2.9671965e-18     7.444500807e-37     0.0845557     2.34185     +
     64.0  7.0796277e-19     4.47507035e-38      0.0892851     2.37785     +
     66.0  -5.952593e-20     2.519038412e-40     0.0710923     0.95323     +
     68.0  1.6054547e-20     2.213209193e-41     0.085867      1.43564     +
     70.0  -2.4744392e-21    1.673487911e-42     0.273318      1.61921     +
     72.0  -1.0817356e-22    1.303102224e-43     11.1362       1.60403     +
     74.0  4.2610204e-22     1.271918373e-44     0.0700539     2.43239     +
     76.0  -1.1062755e-23    1.597196357e-48     0.0130506     0.0333179   +
     78.0  6.8001968e-24     6.659834092e-48     0.144019      1.99074     +
     80.0  -2.4342633e-24    9.618859144e-49     0.162326      1.89177     +
     82.0  -7.242669e-25     5.793441742e-50     0.110443      2.08138     +
     84.0  6.7598127e-26     3.907778138e-52     0.0855186     0.912181    +
     86.0  -2.4565588e-26    4.445535678e-53     0.0736665     1.56069     +
     88.0  1.9236169e-27     -7.063565766e-56    -0.0190892    -0.125247   NEG <<<
     90.0  -2.0451152e-27    3.566426672e-55     0.0852703     2.18344     +
     92.0  -2.1041095e-28    1.107013351e-56     0.250044      1.7273      +
     94.0  2.8943648e-29     1.826564543e-58     0.218036      2.10801     +
     96.0  1.4096176e-30     2.80640598e-60      1.41237       0.744703    +
     98.0  3.1493671e-30     1.135400858e-60     0.114473      1.79719     +
    100.0  -7.4100448e-31    4.605159144e-62     0.0838693     1.63744     +
# NEGATIVE S_x(0) at x = [60.0, 88.0]

# att535 ATTACK 19: heat flow Xi_lam = Gaussian(4 lam) smoothing of Xi.
# One 1-D smoothing integral per evaluation; no nesting beyond that.
# Question: does the STP sign at x = 60 recover under the flow?
   lam=0        Xi_lam(60)=-2.9092748e-18      S^lam_60(0)=-6.1030229e-37        NEG
