# att541 HOSTILE  x=60.0 dps=40 T=150 rmax=2.0 step=0.02
#   Xi(x)   = -2.9092748239358864396e-18
#   Xi(x)^2 = 8.4638800011871830418e-36
#   L1(x)   = 6.8298850238089124821e-35     (sign +)
#   U(0)=L1/16 = 4.2686781398805703013e-36
#   T sign changes at r in: 0.24,1.58   (COUNT = 2)
#   min_R U(R,x) = 2.802035979316614e-65  at R = 1.58   ac<= 2.377e-102   NONNEG
#     r          T(r,x)                 U(R,x)                 sT sU
       0.0  -2.4411414711711e-36   4.2686781398806e-36     NEG +
      0.02  -2.4284533715054e-36   4.3176932885493e-36     NEG +
      0.04  -2.2467615633573e-36   4.3646767911759e-36     NEG +
      0.06  -1.9675392747085e-36   4.4069178790235e-36     NEG +
      0.08  -1.6427087945239e-36   4.4430939768803e-36     NEG +
       0.1  -1.2643097412558e-36   4.4722566229905e-36     NEG +
      0.12  -8.6994966495769e-37   4.4935338439387e-36     NEG +
      0.14  -5.8129001526738e-37   4.5077757973414e-36     NEG +
      0.16  -4.6166201154604e-37   4.5179454434453e-36     NEG +
      0.18  -4.485300239724e-37    4.5269620290655e-36     NEG +
       0.2  -4.2510432130267e-37   4.5358193645235e-36     NEG +
      0.22  -2.6995566591309e-37   4.5430790663816e-36     NEG +
      0.24  9.1213273322236e-38    4.5452150964718e-36     + +
      0.26  6.2054964652181e-37    4.538291601864e-36      + +
      0.28  1.2078423795965e-36    4.5200140318941e-36     + +
       0.3  1.7631427677854e-36    4.4902027945301e-36     + +
      0.32  2.2454600969786e-36    4.4499836199143e-36     + +
      0.34  2.651099672322e-36     4.4008976868261e-36     + +
      0.36  2.9863173054411e-36    4.3444067205098e-36     + +
      0.38  3.2596846646836e-36    4.2818717050226e-36     + +
       0.4  3.5344044226797e-36    4.2140232276407e-36     + +
      0.42  3.9090723720912e-36    4.1398033740229e-36     + +
      0.44  4.3889910341845e-36    4.0569336279822e-36     + +
      0.46  4.8942273198458e-36    3.9640967652702e-36     + +
      0.48  5.414561716984e-36     3.8610845784084e-36     + +
       0.5  6.0095401967915e-36    3.7469960071015e-36     + +
      0.52  6.6698347078195e-36    3.6202454459281e-36     + +
      0.54  7.3001890555566e-36    3.4804030905209e-36     + +
      0.56  7.7996047169335e-36    3.3291198446886e-36     + +
      0.58  8.1103381882017e-36    3.1696967745739e-36     + +
       0.6  8.2586679147476e-36    3.0058082034184e-36     + +
      0.62  8.3381421807917e-36    2.839795900576e-36      + +
      0.64  8.3968471631801e-36    2.6723995959022e-36     + +
      0.66  8.4111514375892e-36    2.5042298235093e-36     + +
      0.68  8.3940537147492e-36    2.3361802776652e-36     + +
       0.7  8.4159999609301e-36    2.168194353955e-36      + +
      0.72  8.5003006115231e-36    1.9990999773458e-36     + +
      0.74  8.5748156504198e-36    1.8282390381106e-36     + +
      0.76  8.5325377306321e-36    1.6569001961432e-36     + +
      0.78  8.3222543159945e-36    1.4880792505229e-36     + +
