# att541 HOSTILE  x=88.0 dps=40 T=180 rmax=2.0 step=0.02
#   Xi(x)   = 1.9236169245439991376e-27
#   Xi(x)^2 = 3.7003020723921136719e-54
#   L1(x)   = 3.6094202044417537148e-53     (sign +)
#   U(0)=L1/16 = 2.2558876277760960718e-54
#   T sign changes at r in: 0.18,1.7   (COUNT = 2)
#   min_R U(R,x) = 1.625472499529046e-84  at R = 1.68   ac<= 5.083e-121   NONNEG
#     r          T(r,x)                 U(R,x)                 sT sU
       0.0  -2.8254263063119e-55   2.2558876277761e-54     NEG +
      0.02  -3.0824376581144e-55   2.2618319121166e-54     NEG +
      0.04  -3.1299985693308e-55   2.2680817180112e-54     NEG +
      0.06  -2.840472628655e-55    2.2741310482745e-54     NEG +
      0.08  -2.0526462081505e-55   2.2790931244662e-54     NEG +
       0.1  -1.1991567466762e-55   2.2822962370053e-54     NEG +
      0.12  -7.2191387390498e-56   2.2841636685771e-54     NEG +
      0.14  -3.8711231209826e-56   2.2852702740742e-54     NEG +
      0.16  -7.765310684257e-57    2.2857284850001e-54     NEG +
      0.18  2.6850901670925e-56    2.2855620177306e-54     + +
       0.2  8.6292742621374e-56    2.284482766739e-54      + +
      0.22  1.7251904371419e-55    2.2819282602942e-54     + +
      0.24  2.7532123750446e-55    2.2774762057573e-54     + +
      0.26  3.9697695176993e-55    2.2707893088739e-54     + +
      0.28  5.419419253633e-55     2.2614407396478e-54     + +
       0.3  7.0623067307063e-55    2.2489773434451e-54     + +
      0.32  8.7366421866275e-55    2.2331786335564e-54     + +
      0.34  1.0483468602638e-54    2.2139788759354e-54     + +
      0.36  1.223542674911e-54     2.1912355675423e-54     + +
      0.38  1.3833277192686e-54    2.1651565981112e-54     + +
       0.4  1.5555704891863e-54    2.1358102526635e-54     + +
      0.42  1.7451643258331e-54    2.1028113199644e-54     + +
      0.44  1.9390078920537e-54    2.0659909447735e-54     + +
      0.46  2.1620334795358e-54    2.0250433358177e-54     + +
      0.48  2.3997915995787e-54    1.9794009377439e-54     + +
       0.5  2.6035629953203e-54    1.929290896357e-54      + +
      0.52  2.757870897831e-54     1.8755887394196e-54     + +
      0.54  2.8669579569155e-54    1.8192879953507e-54     + +
      0.56  2.9621299089819e-54    1.760995961629e-54      + +
      0.58  3.0589254173629e-54    1.7007900076023e-54     + +
       0.6  3.1555396371461e-54    1.6386336377569e-54     + +
      0.62  3.2309639668827e-54    1.5747138463201e-54     + +
      0.64  3.2809392305412e-54    1.5095751770073e-54     + +
      0.66  3.3286854138205e-54    1.4434778549984e-54     + +
      0.68  3.3640295312375e-54    1.3765151117032e-54     + +
       0.7  3.39088112706e-54      1.3089844350734e-54     + +
      0.72  3.4408773849125e-54    1.2407079136488e-54     + +
      0.74  3.4932181123574e-54    1.1713291725964e-54     + +
      0.76  3.5039129439701e-54    1.101264629911e-54      + +
      0.78  3.4596890697457e-54    1.0315488468644e-54     + +
       0.8  3.3832943393786e-54    9.6308929445158e-55     + +
      0.82  3.29431842522e-54      8.9629716615235e-55     + +
      0.84  3.1996123991094e-54    8.3135694524243e-55     + +
      0.86  3.1079390131228e-54    7.6828791792838e-55     + +
      0.88  3.0143089204782e-54    7.0705241596615e-55     + +
       0.9  2.9159416735829e-54    6.4775387426327e-55     + +
      0.92  2.8265524411873e-54    5.903477659916e-55      + +
      0.94  2.740585112586e-54     5.3466649966541e-55     + +
      0.96  2.6392599328055e-54    4.808286158742e-55      + +
      0.98  2.5140485628612e-54    4.2926156664976e-55     + +
       1.0  2.3744702633936e-54    3.8035938284247e-55     + +
      1.02  2.22729408204e-54      3.343357463865e-55      + +
      1.04  2.0798719489743e-54    2.912646133353e-55      + +
      1.06  1.9303173499578e-54    2.5115898753309e-55     + +
      1.08  1.7825363105946e-54    2.140364107264e-55      + +
       1.1  1.6333047264523e-54    1.7986927917546e-55     + +
      1.12  1.4843417283815e-54    1.4870344040984e-55     + +
      1.14  1.3373886145888e-54    1.2047663551835e-55     + +
      1.16  1.1852476552307e-54    9.5252761054718e-56     + +
      1.18  1.0407988302493e-54    7.3003648855958e-56     + +
       1.2  8.9038346471208e-55    5.3666406450946e-56     + +
