# att541 PROFILE  x=60.0 dps=40 T=150
#   Xi(x)^2 = 8.46388000119e-36   L1 = 0.0   U(0)=L1/16 = 0.0
#     r          T(r,x)                 acT        U(r,x)=U0-M(r)          acU        signT signU
       0  -2.4411414711711e-36   7.13e-100  0.0                    2.38e-102   NEG +
    0.02  -2.4284533715054e-36   7.13e-100  4.9015148668704e-38    2.38e-102   NEG +
    0.05  -2.1144631778305e-36   7.13e-100  1.1782039836267e-37    2.38e-102   NEG +
     0.1  -1.2643097412558e-36   7.13e-100  2.0357848310989e-37    2.38e-102   NEG +
    0.15  -5.0193297376664e-37   7.13e-100  2.444776417384e-37     2.38e-102   NEG +
     0.2  -4.2510432130267e-37   7.13e-100  2.6714122464297e-37    2.38e-102   NEG +
    0.22  -2.6995566591309e-37   7.13e-100  2.7440092650098e-37    2.38e-102   NEG +
    0.25  3.4131412262858e-37    7.13e-100  2.7440496148877e-37    2.38e-102   + +
    0.28  1.2078423795965e-36    7.13e-100  2.5133589201348e-37    2.38e-102   + +
     0.3  1.7631427677854e-36    7.13e-100  2.2152465464951e-37    2.38e-102   + +
    0.35  2.8274766723143e-36    7.13e-100  1.048121246246e-37     2.38e-102   + +
     0.4  3.5344044226797e-36    7.13e-100  -5.4654912239833e-38   2.38e-102   + NEG<<<
     0.5  6.0095401967915e-36    7.13e-100  -5.2168213277903e-37   2.38e-102   + NEG<<<
     0.6  8.2586679147476e-36    7.13e-100  -1.2628699364622e-36   2.38e-102   + NEG<<<
     0.7  8.4159999609301e-36    7.13e-100  -2.1004837859256e-36   2.38e-102   + NEG<<<
     0.8  7.9756511054399e-36    7.13e-100  -2.9437553511895e-36   2.38e-102   + NEG<<<
     0.9  5.6069574481611e-36    7.13e-100  -3.6259046755642e-36   2.38e-102   + NEG<<<
     1.0  3.1353780027076e-36    7.13e-100  -4.0635166295901e-36   2.38e-102   + NEG<<<
     1.1  6.2195679898177e-37    7.13e-100  -4.2537440023313e-36   2.38e-102   + NEG<<<
     1.2  2.6713545812969e-39    7.13e-100  -4.2686452762536e-36   2.38e-102   + NEG<<<
     1.4  9.2511001531014e-50    7.13e-100  -4.2686781398806e-36   2.38e-102   + NEG<<<
     1.6  -1.7725014677574e-65   7.13e-100  -4.2686781398806e-36   2.38e-102   NEG NEG<<<
     1.8  -1.7731014905506e-65   7.13e-100  -4.2686781398806e-36   2.38e-102   NEG NEG<<<
     2.0  -1.773101490547e-65    7.13e-100  -4.2686781398806e-36   2.38e-102   NEG NEG<<<
     2.5  -1.7731014905482e-65   7.13e-100  -4.2686781398806e-36   2.38e-102   NEG NEG<<<
     3.0  -1.7731014905622e-65   7.13e-100  -4.2686781398806e-36   2.38e-102   NEG NEG<<<
