crossings from the bank: 21
   t (between crossings)   S_mult (model)   S_Γ (chart contour)   S_Γ − S_mult = N_off
    12.0000               -0.20143         -0.20143          -1.11e-16
    17.5784               +0.04407         +0.04407          +0.00e+00
    23.0164               +0.03187         +0.03187          +1.11e-16
    27.7179               -0.01126         -0.01126          +2.57e-16
    31.6800               +0.00979         +0.00979          -1.98e-16
    35.2606               +0.05680         +0.05680          +2.64e-16
    39.2524               -0.07371         -0.07371          +5.55e-16
    42.1229               +0.07298         +0.07298          +9.71e-17
    45.6661               -0.02306         -0.02306          -6.11e-16
    48.8895               -0.05830         -0.05830          +8.47e-16
    51.3721               +0.12118         +0.12118          +3.19e-16
    54.7083               -0.01138         -0.01138          -6.30e-16
    57.8966               -0.12406         -0.12406          +2.91e-16
    60.0894               +0.09439         +0.09439          +9.16e-16
    62.9722               +0.04760         +0.04760          +1.36e-15
    66.0962               -0.11049         -0.11049          -5.41e-16
    68.3131               +0.05336         +0.05336          +1.22e-15
    70.8068               +0.09916         +0.09916          -5.55e-17
    73.8859               -0.09831         -0.09831          -1.85e-15
    76.4248               -0.10106         -0.10106          +2.40e-15
    78.2411               +0.17329         +0.17329          +1.69e-15
    79.9000               +0.50468         +0.50468          -1.44e-15
max |S_Γ − S_mult| = 2.40e-15  →  N_off = 0 on [10, 80]: CONFIRMED
