sanity at s=3+0.7i: Σ c_n n^{-s} (n≤10^6) = (0.0037543376390763404+0.0075769968192731935j)   −DH′/DH = (0.003754337639 + 0.007576996819j)

settling slopes of log|C_x − target| vs log x, x = 10^3…10^6
 object   t      σ     slope    predicted        |err| at 10^3 / 10^6
 ζ       85.70  0.60   -0.123   -0.100 (½−σ)      7.57e-01 / 2.95e-01
 DH      85.70  0.60   +0.210   +0.209 (β−σ)      2.01e+01 / 8.58e+01
 ζ       85.70  0.75   -0.269   -0.250 (½−σ)      2.75e-01 / 4.34e-02
 DH      85.70  0.75   +0.059   +0.059 (β−σ)      2.56e+01 / 3.84e+01
 ζ       85.70  0.90   -0.416   -0.400 (½−σ)      9.88e-02 / 6.08e-03
 DH      85.70  0.90   -0.092   -0.091 (β−σ)      5.82e+00 / 3.08e+00
 ζ       30.00  0.60   -0.113   -0.100 (½−σ)      1.09e+00 / 4.03e-01
 DH      30.00  0.60   -0.115   +0.209 (β−σ)      3.51e+00 / 1.42e+00
 ζ       30.00  0.75   -0.263   -0.250 (½−σ)      3.63e-01 / 4.90e-02
 DH      30.00  0.75   -0.271   +0.059 (β−σ)      8.13e-01 / 1.21e-01
 ζ       30.00  0.90   -0.413   -0.400 (½−σ)      1.15e-01 / 5.69e-03
 DH      30.00  0.90   -0.431   -0.091 (β−σ)      2.13e-01 / 1.13e-02
