sanity s=3+0.7i:  Σ μ n^{-s} = (0.8602457484247138+0.08949907937592565j)  1/ζ = (0.860245748 + 0.0894990794j) |  Σ b n^{-s} = (0.9837825579087022+0.000241441070213158j)  1/DH = (0.983782558 + 0.00024144107j)

ANTI-BANK settling: slope of log|Σ_{n≤x} a⁻¹(n) n^{-s} − 1/F(s)| vs log x
 object    t      σ     slope   predicted      |err| 10^3 / 10^6
 ζ / μ    85.70  0.60   +0.009   -0.100 (½−σ)   9.59e-02 / 1.36e-01
 DH / b   85.70  0.60   +0.209   +0.209 (β−σ)   1.61e+01 / 6.83e+01
 ζ / μ    85.70  0.75   -0.154   -0.250 (½−σ)   3.86e-02 / 2.01e-02
 DH / b   85.70  0.75   +0.059   +0.059 (β−σ)   2.04e+01 / 3.06e+01
 ζ / μ    85.70  0.90   -0.326   -0.400 (½−σ)   1.66e-02 / 2.83e-03
 DH / b   85.70  0.90   -0.092   -0.091 (β−σ)   4.63e+00 / 2.46e+00
 ζ / μ    30.00  0.60   -0.094   -0.100 (½−σ)   7.00e-01 / 3.28e-01
 DH / b   30.00  0.60   -0.129   +0.209 (β−σ)   1.23e+00 / 4.41e-01
 ζ / μ    30.00  0.75   -0.250   -0.250 (½−σ)   2.23e-01 / 3.53e-02
 DH / b   30.00  0.75   -0.297   +0.059 (β−σ)   2.99e-01 / 3.14e-02
 ζ / μ    30.00  0.90   -0.407   -0.400 (½−σ)   6.84e-02 / 3.65e-03
 DH / b   30.00  0.90   -0.468   -0.091 (β−σ)   8.19e-02 / 2.50e-03
