'C3B10.bilin_measurable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B10.integral_norm_shift_dilate' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B10.bilin_slice_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B10.bilin_slice_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B10.bilin_prod_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B10.carrierBilin_eq_bilin_shear' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B10.carrierBilin_prod_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B10.bilin_slice_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B10.bilin_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B10.autocorrelation_pairing' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B10.autocorrelation_pairing_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
