'C3B11.bilin2_measurable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.bilin2_slice_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.bilin2_slice_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.bilin2_prod_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.carrierBilin2_eq_bilin2_shear' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.carrierBilin2_prod_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.bilin2_slice_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.bilin2_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.carrier_pairing2' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.carrier_pairing2_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.integral_comp_neg_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.cosMom_of_odd' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.sinMom_of_even' depends on axioms: [propext, Classical.choice, Quot.sound]
