'C3B11.abs_le_exp_add_exp' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.t_xiWeight_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.wQ_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.wS_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.wP_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.wR_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.sinMom_wQ' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.sinMom_wP' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.cosMom_wS' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.cosMom_wR' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.cell_weight_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.gY_cellDensity_ae' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.gY_cellDensity_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.gY_cellDensity_full' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.target_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B11.target_nonneg_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
EXIT_c3b11_A2=0
