'C3B13.cosMom_abs_le_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.sinMom_abs_le_mass' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.xiKernel_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.kM2_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.cosMom_xiKernel_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.cosMom_kM2_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.cosMom_kM2_zero_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.cosMom_xiKernel_zero_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.kA1_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.kA1_eq_abs_kM1' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.kA1_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.sinMom_kM1_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.momentTwo_abs_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.momentTwo_nonneg_of_thickened' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.momentTwo_nonneg_of_cosMom_zero'' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.momentTwo_nonneg_of_small_readout' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.carrier_product_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.cell_slice_ae' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.cellDensity_abs_le_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.cellDensity_zero_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.weighted_moment_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.momentZero_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.momentTwo_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_abs_le_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_ge_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_le_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_mul' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_quotient' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_elementary_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_elementary_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_elementary_fibre' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_elementary_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_elementary_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.gen_cellDensity_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.cellDensity_zero_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.cellDensity_zero_aesm' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.Jbar_integrableOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.Jbar_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.shifted_moment_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.momentTwo_ge_shifted' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.momentTwo_ge_readout_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.momentTwo_nonneg_of_large_readout' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.momentTwo_nonneg_of_either' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.corner_tail_laguerre' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.corner_tail_laguerre_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_two_over_one_add_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_two_over_one_add_sq_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_two_over_one_add_sq_boundary' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B13.laguerre_two_over_one_add_sq_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
