'C3B14.convBilin_measurable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.convBilin_slice_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.convBilin_slice_norm_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.convBilin_prod_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.carrierConvBilin_eq_convBilin_shear' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.carrierConvBilin_prod_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.convBilin_slice_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.convBilin_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.carrier_conv_pairing' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.carrier_conv_pairing_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.pair_slice_ae' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.Rker_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.Rker_even' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.cell_p2_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.rleg_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.rleg_value' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.Rker_ae' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.Rker_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.cosMom_Rker' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.cosMom_Rker_eq_two_momentTwo' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.target_iff_cosMom_Rker_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.cosMom_Rker_zero_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B14.cosMom_Rker_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
