'C3B18.xiKernel_le_const' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.xiKernelMajorantConstant_nonneg'' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.shifted_sq_xiKernel_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.sq_xiKernel_reflect_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.pair_slice_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.Rker_antitone_of_logConcave'' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.Rker_antitoneOn_of_logConcave' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.abs_cos_half_period' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.lobe_block_antitone' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.lobe_block_antitone_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.prod_sum_sub_eq_double' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.double_sum_diag_offdiag' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.midpoint_nonneg_of_diag_dominates' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.midpoint_nonneg_of_diag_ge_offdiag' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B18.diag_nonneg_of_termwise' depends on axioms: [propext, Classical.choice, Quot.sound]
