'C3B5.A2.radial_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B5.A2.radial_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B5.A2.radial_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B5.A2.radial_pos_of_ge_eight' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B5.A2.radial_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B5.A2.radial_ratio_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B5.A2.tsum_pos_of_head_dominant' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B5.A2.tsum_pos_of_head_dominant_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B5.A2.hyperbola_weight' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B5.A2.divisorPhase_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B5.A2.divisorPhase_one' depends on axioms: [propext, Classical.choice, Quot.sound]
