'C3B6.Theta.radial_mode_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B6.Theta.modeLam_head' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B6.Theta.headMode_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B6.Theta.headMode_integral_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B6.Theta.modePair_integral_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B6.Theta.modeA_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B6.Theta.modeLam_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B6.Theta.modePair_integral_symm' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B6.Theta.ramp_tail_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B6.Theta.ramp_tail_nonneg_of_mode' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B6.Theta.exp_hankel_minor_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B6.Theta.neg_exp_strict_concave' depends on axioms: [propext, Classical.choice, Quot.sound]
