'C3B9.tailT_eq_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.tailT_stronglyMeasurable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.tailT_measurable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.gaussConst_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.tailT_integrand_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.tailT_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.gY''_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.tailT_integrableOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.tailT_scalar_integrableOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.tailT_weighted_integrableOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.tailT_prodG_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.sinh_pairing_from_cellDensity'' depends on axioms: [propext, Classical.choice, Quot.sound]
