'C3B9.certHeight_spec' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.cellDensity_nonneg_above' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.triH_measurable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.cellDensity_triH_prod_integrable' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.second_tail_eq_ramp' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.tailT_integrand_integrableOn' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.tailT_nonneg_above' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.tailT_split' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.tailT_high_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.hU_of_window' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.sinh_pairing_from_compact_window' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.window_gap_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.ramp_window_le_tailT_window' depends on axioms: [propext, Classical.choice, Quot.sound]
'C3B9.modeBndS_window_le' depends on axioms: [propext, Classical.choice, Quot.sound]
