# Broad hunt over 71 unresolved rank-3 groups, |G|<=400, 15.0s each

C2+C2+C6         |G|=   24 d*=  7 M=  8  best_ZSF=  7 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C10        |G|=   40 d*= 11 M= 12  best_ZSF= 11 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C12        |G|=   48 d*= 13 M= 14  best_ZSF= 13 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C14        |G|=   56 d*= 15 M= 16  best_ZSF= 15 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C18        |G|=   72 d*= 19 M= 20  best_ZSF= 19 (gap +1)  15.0s  (reached d*; no CE)
C2+C6+C6         |G|=   72 d*= 11 M= 12  best_ZSF= 11 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C20        |G|=   80 d*= 21 M= 22  best_ZSF= 21 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C22        |G|=   88 d*= 23 M= 24  best_ZSF= 23 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C24        |G|=   96 d*= 25 M= 26  best_ZSF= 25 (gap +1)  15.0s  (reached d*; no CE)
C2+C4+C12        |G|=   96 d*= 15 M= 16  best_ZSF= 15 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C26        |G|=  104 d*= 27 M= 28  best_ZSF= 27 (gap +1)  15.0s  (reached d*; no CE)
C3+C6+C6         |G|=  108 d*= 12 M= 13  best_ZSF= 12 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C28        |G|=  112 d*= 29 M= 30  best_ZSF= 29 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C30        |G|=  120 d*= 31 M= 32  best_ZSF= 31 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C34        |G|=  136 d*= 35 M= 36  best_ZSF= 35 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C36        |G|=  144 d*= 37 M= 38  best_ZSF= 37 (gap +1)  15.0s  (reached d*; no CE)
C2+C6+C12        |G|=  144 d*= 17 M= 18  best_ZSF= 17 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C38        |G|=  152 d*= 39 M= 40  best_ZSF= 39 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C40        |G|=  160 d*= 41 M= 42  best_ZSF= 41 (gap +1)  15.0s  (reached d*; no CE)
C2+C4+C20        |G|=  160 d*= 23 M= 24  best_ZSF= 23 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C42        |G|=  168 d*= 43 M= 44  best_ZSF= 43 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C44        |G|=  176 d*= 45 M= 46  best_ZSF= 45 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C46        |G|=  184 d*= 47 M= 48  best_ZSF= 47 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C48        |G|=  192 d*= 49 M= 50  best_ZSF= 49 (gap +1)  15.0s  (reached d*; no CE)
C2+C4+C24        |G|=  192 d*= 27 M= 28  best_ZSF= 27 (gap +1)  15.0s  (reached d*; no CE)
C4+C4+C12        |G|=  192 d*= 17 M= 18  best_ZSF= 17 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C50        |G|=  200 d*= 51 M= 52  best_ZSF= 51 (gap +1)  15.0s  (reached d*; no CE)
C2+C10+C10       |G|=  200 d*= 19 M= 20  best_ZSF= 19 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C52        |G|=  208 d*= 53 M= 54  best_ZSF= 53 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C54        |G|=  216 d*= 55 M= 56  best_ZSF= 55 (gap +1)  15.0s  (reached d*; no CE)
C2+C6+C18        |G|=  216 d*= 23 M= 24  best_ZSF= 23 (gap +1)  15.0s  (reached d*; no CE)
C3+C6+C12        |G|=  216 d*= 18 M= 19  best_ZSF= 18 (gap +1)  15.0s  (reached d*; no CE)
C6+C6+C6         |G|=  216 d*= 15 M= 16  best_ZSF= 15 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C56        |G|=  224 d*= 57 M= 58  best_ZSF= 57 (gap +1)  15.0s  (reached d*; no CE)
C2+C4+C28        |G|=  224 d*= 31 M= 32  best_ZSF= 31 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C58        |G|=  232 d*= 59 M= 60  best_ZSF= 59 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C60        |G|=  240 d*= 61 M= 62  best_ZSF= 61 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C62        |G|=  248 d*= 63 M= 64  best_ZSF= 63 (gap +1)  15.0s  (reached d*; no CE)
C5+C5+C10        |G|=  250 d*= 17 M= 18  best_ZSF= 17 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C66        |G|=  264 d*= 67 M= 68  best_ZSF= 67 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C68        |G|=  272 d*= 69 M= 70  best_ZSF= 69 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C70        |G|=  280 d*= 71 M= 72  best_ZSF= 71 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C72        |G|=  288 d*= 73 M= 74  best_ZSF= 73 (gap +1)  15.0s  (reached d*; no CE)
C2+C4+C36        |G|=  288 d*= 39 M= 40  best_ZSF= 39 (gap +1)  15.0s  (reached d*; no CE)
C2+C6+C24        |G|=  288 d*= 29 M= 30  best_ZSF= 29 (gap +1)  15.0s  (reached d*; no CE)
C2+C12+C12       |G|=  288 d*= 23 M= 24  best_ZSF= 23 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C74        |G|=  296 d*= 75 M= 76  best_ZSF= 75 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C76        |G|=  304 d*= 77 M= 78  best_ZSF= 77 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C78        |G|=  312 d*= 79 M= 80  best_ZSF= 79 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C80        |G|=  320 d*= 81 M= 82  best_ZSF= 81 (gap +1)  15.0s  (reached d*; no CE)
C2+C4+C40        |G|=  320 d*= 43 M= 44  best_ZSF= 43 (gap +1)  15.0s  (reached d*; no CE)
C4+C4+C20        |G|=  320 d*= 25 M= 26  best_ZSF= 25 (gap +1)  15.0s  (reached d*; no CE)
C3+C6+C18        |G|=  324 d*= 24 M= 25  best_ZSF= 24 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C82        |G|=  328 d*= 83 M= 84  best_ZSF= 83 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C84        |G|=  336 d*= 85 M= 86  best_ZSF= 85 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C86        |G|=  344 d*= 87 M= 88  best_ZSF= 87 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C88        |G|=  352 d*= 89 M= 90  best_ZSF= 89 (gap +1)  15.0s  (reached d*; no CE)
C2+C4+C44        |G|=  352 d*= 47 M= 48  best_ZSF= 47 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C90        |G|=  360 d*= 91 M= 92  best_ZSF= 91 (gap +1)  15.0s  (reached d*; no CE)
C2+C6+C30        |G|=  360 d*= 35 M= 36  best_ZSF= 35 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C92        |G|=  368 d*= 93 M= 94  best_ZSF= 93 (gap +1)  15.0s  (reached d*; no CE)
C5+C5+C15        |G|=  375 d*= 22 M= 23  best_ZSF= 22 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C94        |G|=  376 d*= 95 M= 96  best_ZSF= 95 (gap +1)  15.0s  (reached d*; no CE)
C2+C2+C96        |G|=  384 d*= 97 M= 98  best_ZSF= 97 (gap +1)  15.0s  (reached d*; no CE)
C2+C4+C48        |G|=  384 d*= 51 M= 52  best_ZSF= 51 (gap +1)  15.0s  (reached d*; no CE)
