 m   nmax    T    res[+1]    res[-1]   ratio(-/+)  pick   L|eps=+1
15   43500   60  4.38e-03  3.16e-05     0.0072   -1   +5.37397
15   72000  100  4.37e-03  1.71e-05     0.0039   -1   +5.37397

16   46000   60  6.05e-03  6.65e-05     0.0110   -1   +6.83357
16   76000  100  6.03e-03  4.74e-05     0.0079   -1   +6.83355

17   48500   60  3.42e-05  5.43e-03     0.0063   +1   +0.17692
17   80000  100  1.21e-07  5.39e-03     0.0000   +1   +0.17691

18   51000   60  6.67e-03  3.37e-03     0.5051   -1   -0.43145
18   84000  100  6.70e-03  3.34e-03     0.4983   -1   -0.43145

