==============================================================================
MB GL(3) WALL LIFT - Deng-Espinosa discriminant/gamma-branch test
==============================================================================
Profile: compact theta window on c=+/-1, alpha=-1/2 residual factor.
Homogeneity: a-span ~ T, b-span ~ T^2 with T=X/8; Q=n f^2.
Reference GL(2) gamma-spread band: 0.441 +/- 0.058

[profile] Deng-Espinosa branch support fractions in the compact window:
    c     X   branch      frac        eps      S_a      S_b
   -1   8.0    mixed     0.775  8.807e-02    5.640    5.640
   -1   8.0    real3     0.225  1.285e-01    5.640    5.640
   -1  12.0    mixed     0.775  8.807e-02    8.460   12.690
   -1  12.0    real3     0.225  1.285e-01    8.460   12.690
   -1  16.0    mixed     0.775  8.807e-02   11.280   22.560
   -1  16.0    real3     0.225  1.285e-01   11.280   22.560
    1   8.0    mixed     0.775  8.807e-02    5.640    5.640
    1   8.0    real3     0.225  1.285e-01    5.640    5.640
    1  12.0    mixed     0.775  8.807e-02    8.460   12.690
    1  12.0    real3     0.225  1.285e-01    8.460   12.690
    1  16.0    mixed     0.775  8.807e-02   11.280   22.560
    1  16.0    real3     0.225  1.285e-01   11.280   22.560

[measured] gamma decay exponents and clock spacings:
    c     br  n  f    X   dir    gamma     R2      dip     pred   dip/p
   -1  real3  4  1    8     a    0.724  0.571    2.634    0.709   3.715
   -1  real3  4  1    8     b    0.724  0.571    2.634    0.709   3.715
   -1  real3  4  1    8  diag    0.196  0.163    1.109    0.355   3.128
   -1  real3  4  1   12     a    0.436  0.465    2.958    0.473   6.256
   -1  real3  4  1   12     b    0.246  0.275    1.812    0.315   5.748
   -1  real3  4  1   12  diag    0.115  0.071    1.171    0.189   6.191
   -1  real3  4  1   16     a    0.282  0.368    1.516    0.355   4.275
   -1  real3  4  1   16     b    0.100  0.059    1.035    0.177   5.839
   -1  real3  4  1   16  diag   -0.071  0.014    0.678    0.118   5.735
   -1  real3  4  2    8     a    1.788  0.961      nan    2.837     nan
   -1  real3  4  2    8     b    1.788  0.961      nan    2.837     nan
   -1  real3  4  2    8  diag    1.715  0.766    3.420    1.418   2.411
   -1  real3  4  2   12     a    2.023  0.973      nan    1.891     nan
   -1  real3  4  2   12     b    1.572  0.866    3.636    1.261   2.884
   -1  real3  4  2   12  diag    0.562  0.394    2.496    0.757   3.299
   -1  real3  4  2   16     a    1.749  0.887    4.067    1.418   2.867
   -1  real3  4  2   16     b    0.724  0.571    2.634    0.709   3.715
   -1  real3  4  2   16  diag    0.310  0.291    1.479    0.473   3.128
   -1  real3  8  1    8     a    1.749  0.887    4.067    1.418   2.867
   -1  real3  8  1    8     b    1.749  0.887    4.067    1.418   2.867
   -1  real3  8  1    8  diag    0.447  0.364    1.849    0.709   2.607
   -1  real3  8  1   12     a    1.130  0.725    3.328    0.946   3.519
   -1  real3  8  1   12     b    0.706  0.612    2.265    0.630   3.592
   -1  real3  8  1   12  diag    0.183  0.174    2.465    0.378   6.517
   -1  real3  8  1   16     a    0.724  0.571    2.634    0.709   3.715
   -1  real3  8  1   16     b    0.282  0.368    1.516    0.355   4.275
   -1  real3  8  1   16  diag    0.251  0.345    1.109    0.236   4.692
   -1  real3  8  2    8     a    1.041  0.814      nan    5.674     nan
   -1  real3  8  2    8     b    1.041  0.814      nan    5.674     nan
   -1  real3  8  2    8  diag    2.174  0.891      nan    2.837     nan
   -1  real3  8  2   12     a    1.597  0.906      nan    3.783     nan
   -1  real3  8  2   12     b    1.839  0.960      nan    2.522     nan
   -1  real3  8  2   12  diag    1.912  0.865    3.697    1.513   2.444
   -1  real3  8  2   16     a    1.788  0.961      nan    2.837     nan
   -1  real3  8  2   16     b    1.749  0.887    4.067    1.418   2.867
   -1  real3  8  2   16  diag    1.091  0.634    6.378    0.946   6.745
   -1  mixed  4  1    8     a    0.800  0.559    2.681    0.709   3.780
   -1  mixed  4  1    8     b    0.800  0.559    2.681    0.709   3.780
   -1  mixed  4  1    8  diag    0.500  0.189    1.202    0.355   3.389
   -1  mixed  4  1   12     a    0.378  0.339    2.912    0.473   6.158
   -1  mixed  4  1   12     b    0.168  0.208    3.402    0.315  10.792
   -1  mixed  4  1   12  diag    0.062  0.022    1.317    0.189   6.965
   -1  mixed  4  1   16     a    0.244  0.195    3.790    0.355  10.688
   -1  mixed  4  1   16     b    0.184  0.280    1.770    0.177   9.980
   -1  mixed  4  1   16  diag   -0.099  0.031    0.512    0.118   4.331
   -1  mixed  4  2    8     a    2.259  0.992    3.697    2.837   1.303
   -1  mixed  4  2    8     b    2.259  0.992    3.697    2.837   1.303
   -1  mixed  4  2    8  diag    2.192  0.964      nan    1.418     nan
   -1  mixed  4  2   12     a    2.274  0.983    2.473    1.891   1.307
   -1  mixed  4  2   12     b    1.609  0.828    1.775    1.261   1.408
   -1  mixed  4  2   12  diag    1.276  0.739    2.496    0.757   3.299
   -1  mixed  4  2   16     a    1.784  0.895    1.875    1.418   1.322
   -1  mixed  4  2   16     b    0.800  0.559    2.681    0.709   3.780
   -1  mixed  4  2   16  diag    0.521  0.258    2.003    0.473   4.236
   -1  mixed  8  1    8     a    1.784  0.895    1.875    1.418   1.322
   -1  mixed  8  1    8     b    1.784  0.895    1.875    1.418   1.322
   -1  mixed  8  1    8  diag    1.368  0.781    3.605    0.709   5.083
   -1  mixed  8  1   12     a    1.317  0.716    1.294    0.946   1.369
   -1  mixed  8  1   12     b    0.661  0.527    1.928    0.630   3.058
   -1  mixed  8  1   12  diag    0.360  0.321    1.756    0.378   4.643
   -1  mixed  8  1   16     a    0.800  0.559    2.681    0.709   3.780
   -1  mixed  8  1   16     b    0.244  0.195    3.790    0.355  10.688
   -1  mixed  8  1   16  diag   -0.004  0.000    1.725    0.236   7.299
   -1  mixed  8  2    8     a    1.699  0.926    7.025    5.674   1.238
   -1  mixed  8  2    8     b    1.699  0.926    7.025    5.674   1.238
   -1  mixed  8  2    8  diag    2.045  0.966      nan    2.837     nan
   -1  mixed  8  2   12     a    2.088  0.984    4.375    3.783   1.157
   -1  mixed  8  2   12     b    2.197  0.967    3.291    2.522   1.305
   -1  mixed  8  2   12  diag    2.354  0.956    4.807    1.513   3.177
   -1  mixed  8  2   16     a    2.259  0.992    3.697    2.837   1.303
   -1  mixed  8  2   16     b    1.784  0.895    1.875    1.418   1.322
   -1  mixed  8  2   16  diag    1.694  0.767    3.513    0.946   3.715
    1  real3  4  1    8     a    0.724  0.571    2.634    0.709   3.715
    1  real3  4  1    8     b    0.724  0.571    2.634    0.709   3.715
    1  real3  4  1    8  diag    0.955  0.986      nan    0.355     nan
    1  real3  4  1   12     a    0.436  0.465    2.958    0.473   6.256
    1  real3  4  1   12     b    0.246  0.275    1.812    0.315   5.748
    1  real3  4  1   12  diag    0.923  0.917    3.929    0.189  20.772
    1  real3  4  1   16     a    0.282  0.368    1.516    0.355   4.275
    1  real3  4  1   16     b    0.100  0.059    1.035    0.177   5.839
    1  real3  4  1   16  diag    0.157  0.152    0.786    0.118   6.647
    1  real3  4  2    8     a    1.788  0.961      nan    2.837     nan
    1  real3  4  2    8     b    1.788  0.961      nan    2.837     nan
    1  real3  4  2    8  diag    0.507  0.968      nan    1.418     nan
    1  real3  4  2   12     a    2.023  0.973      nan    1.891     nan
    1  real3  4  2   12     b    1.572  0.866    3.636    1.261   2.884
    1  real3  4  2   12  diag    1.341  0.991      nan    0.757     nan
    1  real3  4  2   16     a    1.749  0.887    4.067    1.418   2.867
    1  real3  4  2   16     b    0.724  0.571    2.634    0.709   3.715
    1  real3  4  2   16  diag    1.451  0.918      nan    0.473     nan
    1  real3  8  1    8     a    1.749  0.887    4.067    1.418   2.867
    1  real3  8  1    8     b    1.749  0.887    4.067    1.418   2.867
    1  real3  8  1    8  diag    0.724  0.984      nan    0.709     nan
    1  real3  8  1   12     a    1.130  0.725    3.328    0.946   3.519
    1  real3  8  1   12     b    0.706  0.612    2.265    0.630   3.592
    1  real3  8  1   12  diag    1.422  0.951      nan    0.378     nan
    1  real3  8  1   16     a    0.724  0.571    2.634    0.709   3.715
    1  real3  8  1   16     b    0.282  0.368    1.516    0.355   4.275
    1  real3  8  1   16  diag    0.541  0.474    4.298    0.236  18.182
    1  real3  8  2    8     a    1.041  0.814      nan    5.674     nan
    1  real3  8  2    8     b    1.041  0.814      nan    5.674     nan
    1  real3  8  2    8  diag    0.292  0.879      nan    2.837     nan
    1  real3  8  2   12     a    1.597  0.906      nan    3.783     nan
    1  real3  8  2   12     b    1.839  0.960      nan    2.522     nan
    1  real3  8  2   12  diag    0.967  0.917      nan    1.513     nan
    1  real3  8  2   16     a    1.788  0.961      nan    2.837     nan
    1  real3  8  2   16     b    1.749  0.887    4.067    1.418   2.867
    1  real3  8  2   16  diag    1.761  0.990      nan    0.946     nan
    1  mixed  4  1    8     a    0.800  0.559    2.681    0.709   3.780
    1  mixed  4  1    8     b    0.800  0.559    2.681    0.709   3.780
    1  mixed  4  1    8  diag    0.889  0.986      nan    0.355     nan
    1  mixed  4  1   12     a    0.378  0.339    2.912    0.473   6.158
    1  mixed  4  1   12     b    0.168  0.208    3.402    0.315  10.792
    1  mixed  4  1   12  diag    0.855  0.701    4.252    0.189  22.483
    1  mixed  4  1   16     a    0.244  0.195    3.790    0.355  10.688
    1  mixed  4  1   16     b    0.184  0.280    1.770    0.177   9.980
    1  mixed  4  1   16  diag    0.208  0.620    2.634    0.118  22.287
    1  mixed  4  2    8     a    2.259  0.992    3.697    2.837   1.303
    1  mixed  4  2    8     b    2.259  0.992    3.697    2.837   1.303
    1  mixed  4  2    8  diag    0.745  0.921      nan    1.418     nan
    1  mixed  4  2   12     a    2.274  0.983    2.473    1.891   1.307
    1  mixed  4  2   12     b    1.609  0.828    1.775    1.261   1.408
    1  mixed  4  2   12  diag    1.426  0.983      nan    0.757     nan
    1  mixed  4  2   16     a    1.784  0.895    1.875    1.418   1.322
    1  mixed  4  2   16     b    0.800  0.559    2.681    0.709   3.780
    1  mixed  4  2   16  diag    1.562  0.833    7.210    0.473  15.249
    1  mixed  8  1    8     a    1.784  0.895    1.875    1.418   1.322
    1  mixed  8  1    8     b    1.784  0.895    1.875    1.418   1.322
    1  mixed  8  1    8  diag    0.689  0.987      nan    0.709     nan
    1  mixed  8  1   12     a    1.317  0.716    1.294    0.946   1.369
    1  mixed  8  1   12     b    0.661  0.527    1.928    0.630   3.058
    1  mixed  8  1   12  diag    1.512  0.966    4.899    0.378  12.952
    1  mixed  8  1   16     a    0.800  0.559    2.681    0.709   3.780
    1  mixed  8  1   16     b    0.244  0.195    3.790    0.355  10.688
    1  mixed  8  1   16  diag    0.556  0.538    3.697    0.236  15.640
    1  mixed  8  2    8     a    1.699  0.926    7.025    5.674   1.238
    1  mixed  8  2    8     b    1.699  0.926    7.025    5.674   1.238
    1  mixed  8  2    8  diag    1.019  0.951      nan    2.837     nan
    1  mixed  8  2   12     a    2.088  0.984    4.375    3.783   1.157
    1  mixed  8  2   12     b    2.197  0.967    3.291    2.522   1.305
    1  mixed  8  2   12  diag    1.222  0.978      nan    1.513     nan
    1  mixed  8  2   16     a    2.259  0.992    3.697    2.837   1.303
    1  mixed  8  2   16     b    1.784  0.895    1.875    1.418   1.322
    1  mixed  8  2   16  diag    1.834  0.951      nan    0.946     nan

[measured] spread accounting across GL(3) cells:
  raw GL(3) gamma-spread std = 0.701
  direction    a: mean 1.363, std 0.660, min 0.244, max 2.274
  direction    b: mean 1.113, std 0.702, min 0.100, max 2.259
  direction diag: mean 0.932, std 0.672, min -0.099, max 2.354
  branch real3: mean 1.042, std 0.641
  branch mixed: mean 1.230, std 0.744

[measured] linear explanations of gamma-spread:
   base: R^2=0.541, resid std=0.475; 1=-0.157, lnQ=+0.626, lnT=-0.615
   rank: R^2=0.605, resid std=0.440; 1=+0.070, lnQ=+0.626, lnT=-0.615, dir_b=-0.250, dir_diag=-0.432
  rank_slope: R^2=0.622, resid std=0.431; 1=-0.014, lnQ=+0.626, lnT=-0.385, dir_b=-0.002, dir_diag=-0.428, dir_b*lnT=-0.679, dir_diag*lnT=-0.010
   span: R^2=0.612, resid std=0.436; 1=+0.723, lnQ=+0.626, lnSpan=-0.439
  clock: R^2=0.597, resid std=0.445; 1=+1.188, ln(Q/span)=+0.558
  gamma: R^2=0.560, resid std=0.465; 1=-0.063, lnQ=+0.626, lnT=-0.615, branch_real3=-0.188, csign=+0.017
   full: R^2=0.623, resid std=0.430; 1=+0.164, lnQ=+0.626, lnT=-0.615, dir_b=-0.250, dir_diag=-0.432, branch_real3=-0.188, csign=+0.017
  full_slope: R^2=0.640, resid std=0.420; 1=+0.080, lnQ=+0.626, lnT=-0.385, dir_b=-0.002, dir_diag=-0.428, dir_b*lnT=-0.679, dir_diag*lnT=-0.010, branch_real3=-0.188, csign=+0.017
  full_span: R^2=0.631, resid std=0.426; 1=+0.817, lnQ=+0.626, lnSpan=-0.439, branch_real3=-0.188, csign=+0.017
  full_clock: R^2=0.615, resid std=0.435; 1=+1.282, ln(Q/span)=+0.558, branch_real3=-0.188, csign=+0.017

[measured] clock-ratio medians from the full discriminant profiles:
     a: median dip/pred 1.369, std 1.116, count 30
     b: median dip/pred 2.867, std 1.050, count 30
  diag: median dip/pred 3.153, std 0.410, count 10

[verdict]
  PERSISTENT CLOCK: neither branch nor rank features materially improve the scalar model on this grid.
  R2 gains over base: rank +0.080, gamma +0.019, full +0.099
[budget] wall time 7.0s
==============================================================================
