SPEISER SWEEP: zeta' zeros in 0.02 < Re s < 0.49
             t block    winding   zeros    [s]
              10..50     0.0000       0      3
              50..90    -0.0000       0      4
             90..130     0.0000       0      5
            130..170     0.0000       0      6
            170..210     0.0000       0      9
            210..250     0.0000       0     11
            250..290     0.0000       0     37
            290..330     0.0000       0     31
            330..370     0.0000       0     28
            370..410     0.0000       0     27
            410..450     0.0000       0     25
            450..490    -0.0000       0     19
            490..530    -0.0000       0     20
            530..570     0.0000       0     23
            570..610    -0.0000       0     27
            610..650     0.0000       0     27
            650..690     0.0000       0     27
            690..730    -0.0000       0     27
            730..770     0.0000       0     27
            770..810    -0.0000       0     27
            810..850     0.0000       0     28
            850..890     0.0000       0     28
            890..930     0.0000       0     29
            930..970     0.0000       0     29
           970..1010    -0.0000       0     29
          1010..1050    -0.0000       0     29
          1050..1090    -0.0000       0     29
          1090..1130     0.0000       0     34
          1130..1170     0.0000       0     40
          1170..1210     0.0000       0     40
          1210..1250     0.0000       0     39
          1250..1290     0.0000       0     39
          1290..1330    -0.0000       0     39
          1330..1370    -0.0000       0     39
          1370..1410    -0.0000       0     40
          1410..1450    -0.0000       0     40
          1450..1490    -0.0000       0     40
          1490..1530     0.0000       0     40
          1530..1570     0.0000       0     40
          1570..1610    -0.0000       0     40
          1610..1650     0.0000       0     41
          1650..1690    -0.0000       0     40
          1690..1730    -0.0000       0     40
          1730..1770     0.0000       0     41
          1770..1810     0.0000       0     41
          1810..1850    -0.0000       0     41
          1850..1890     0.0000       0     42
          1890..1930     0.0000       0     42
          1930..1970     0.0000       0     41
          1970..2010     0.0000       0     41

  blocks: 50   total zeta' zeros left of the line: 0
  SPEISER HOLDS in range -> RH consistent
